Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,1.74,1.61,4.36,1.68,1.49
2001,1.75,1.61,4.1,1.73,1.49
2002,1.75,1.62,4.13,1.71,1.5
2003,1.76,1.6,4.05,1.77,1.53
2004,1.77,1.61,3.95,1.77,1.45
2005,1.76,1.61,3.77,1.75,1.55
2006,1.74,1.59,3.68,1.75,1.46
2007,1.74,1.6,3.6,1.74,1.54
2008,1.74,1.55,3.7,1.75,1.58
2009,1.73,1.58,3.57,1.7,1.52
2010,1.72,1.57,3.43,1.7,1.52
2011,1.68,1.55,3.2,1.65,1.52
2012,1.67,1.51,3.25,1.63,1.54
2013,1.7,1.55,3.12,1.68,1.61
2014,1.68,1.53,3.05,1.66,1.61
2015,1.65,1.49,2.94,1.68,1.57
2016,1.7,1.56,2.82,1.69,1.72
2017,1.67,1.51,2.72,1.71,1.69
2018,1.7,1.53,2.66,1.69,1.7
2019,1.69,1.52,2.57,1.73,1.71
2020,1.8,1.65,2.73,1.76,1.78
2021,1.7,1.55,2.5,1.76,1.64
2022,1.65,1.48,2.23,1.71,1.65
2023,1.64,1.47,2.23,1.7,1.6
