Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,167.16,73.83,32.66,30.68,5.85
2001,161.76,70.5,31.22,31,5.8
2002,158.14,68.03,32.43,29.93,5.77
2003,153.95,62.4,33.51,30.08,6.14
2004,146.41,59.54,31.85,28.88,5.19
2005,139.55,56.29,30.45,26.55,6.33
2006,129.08,51.53,28.54,25.05,5.24
2007,122.64,48.48,27.47,23.83,5.64
2008,120.03,43.76,29.42,23.64,5.7
2009,113.5,42.5,28.06,20.93,5.06
2010,108.72,39.85,26.72,20.49,5.02
2011,99.92,37.25,24.44,18.57,5
2012,96.44,33.75,25.02,17.62,5.08
2013,100.53,35.24,25.06,18.39,6.11
2014,97.21,32.7,24.54,17.94,6.29
2015,93.96,30.29,24.77,18.8,6.29
2016,100.23,33.49,24.22,18.69,8.07
2017,95.47,29.76,24.12,19.24,7.86
2018,97.2,30.12,23.81,18.49,7.95
2019,95.18,28.58,23.8,19.22,8.28
2020,114.68,37.15,30.13,20.9,9.04
2021,105.81,32.29,28.03,22.07,7.98
2022,97.09,27.13,24.4,20.48,7.91
2023,89.57,24.58,23.66,19.27,7.17
