Year,Overall CVD,Ischemic Heart Disease,Hypertension,Cerebrovascular Disease,Heart Failure
2000,1.51,1.28,4.38,1.87,1.39
2001,1.54,1.31,4.33,1.89,1.48
2002,1.54,1.3,4.25,1.91,1.52
2003,1.59,1.35,4.09,1.95,1.48
2004,1.59,1.32,4.05,1.98,1.51
2005,1.61,1.34,4.02,1.99,1.63
2006,1.63,1.36,3.98,2.04,1.52
2007,1.63,1.34,3.82,2.12,1.61
2008,1.61,1.33,3.68,2,1.69
2009,1.6,1.32,3.62,1.96,1.58
2010,1.59,1.31,3.57,1.97,1.6
2011,1.56,1.29,3.33,1.95,1.57
2012,1.59,1.31,3.42,1.96,1.62
2013,1.58,1.29,3.31,1.96,1.65
2014,1.58,1.28,3.12,2.01,1.62
2015,1.59,1.29,3.03,2.02,1.67
2016,1.59,1.3,3.05,1.97,1.6
2017,1.59,1.3,2.79,2,1.7
2018,1.64,1.32,2.82,2.05,1.73
2019,1.62,1.3,2.69,2.01,1.77
2020,1.73,1.41,2.89,2.1,1.86
2021,1.65,1.35,2.65,2.05,1.71
2022,1.63,1.34,2.44,1.99,1.78
2023,1.63,1.33,2.4,2.03,1.75
