Year,black_Female,white_Female,black_Male,white_Male
1999,78.8405355678775,44.1103272754262,91.2223716343506,56.3861530942442
2000,74.271420155332,43.4418128098531,88.7079304767222,56.2772487255125
2001,72.4998345033284,43.8727520335036,91.3099131737696,56.0052764830572
2002,72.0281995511369,42.4107996789322,89.0264972720674,53.6708487211053
2003,72.3577197598016,42.7093828031037,85.3115551116081,54.1027319969429
2004,68.1521614752031,42.160819696802,87.4916980414507,52.6164499539781
2005,73.0609805606969,42.6095856687588,89.7849511482409,52.3105801258504
2006,66.9961535520627,42.1232503079456,87.5005521043036,53.0874130645477
2007,65.1733193650851,38.7675484289531,87.0322586661894,49.6950933873964
2008,63.8505485835513,36.5977529420481,89.1795066383517,47.9519757834795
2009,60.1937955374745,35.7993237272926,84.134090361078,47.6907667124592
2010,59.013907868147,35.6816416513087,83.3584635984873,48.2111479079749
2011,58.1007908881589,35.5035237222974,79.7847836516795,46.9140714765685
2012,58.9290421330373,35.0907478681972,85.9936184980517,48.4459175124055
2013,64.6597671437131,36.9901020945986,90.8551954153121,50.9779514767781
2014,63.7134430031746,38.1004329405559,92.5501028311256,53.9114620501422
2015,67.0763006104059,40.9869710371887,100.905438830439,58.5865402355499
2016,72.8273676262646,41.5960520855213,100.973836413172,60.8748115824688
2017,74.7221314150657,43.5243265661742,106.485797108996,62.406152583574404
2018,74.014175435821,44.9621587702698,112.149989279912,65.5628452540179
2019,78.6099769739153,46.9383216750522,117.451290795672,67.5839998945729
2020,84.0319293395409,47.7932816872856,126.330665521998,69.9396338482555
2021,85.2588730632585,52.337570485953,122.011656410849,73.5883543273098
2022,84.4697166876307,55.5114427802376,127.227244188581,77.4330509676088
