Year,Gender,Hypothetical_Excess_Deaths
1999,Female,1014.9296808486519
1999,Male,699.3518929886473
2000,Female,914.7063802472866
2000,Male,657.4257281800737
2001,Female,875.6556434923378
2001,Male,725.5931486301197
2002,Female,915.5897350000728
2002,Male,759.2761881339152
2003,Female,943.8878954249509
2003,Male,729.5581554203808
2004,Female,841.4786938201614
2004,Male,811.1570860286095
2005,Female,1011.8827769065015
2005,Male,893.1807365470916
2006,Female,863.720530881509
2006,Male,847.4585468082964
2007,Female,931.1862745758053
2007,Male,955.9857166051125
2008,Female,982.4238430684775
2008,Male,1067.9233066669638
2009,Female,912.1936906843998
2009,Male,1030.508607369992
2010,Female,882.7248238754651
2010,Male,988.6422852162099
2011,Female,901.0867269244427
2011,Male,968.0962993114038
2012,Female,1000.0954242946632
2012,Male,1178.8416806250032
2013,Female,1187.9531677446917
2013,Male,1310.230534892386
2014,Female,1153.784093125517
2014,Male,1299.937682590248
2015,Female,1218.3157632101297
2015,Male,1526.8604931859759
2016,Female,1488.563873013212
2016,Male,1537.4828366692266
2017,Female,1578.2232541859698
2017,Male,1730.5295543774225
2018,Female,1541.3861575348021
2018,Male,1850.9145946208982
2019,Female,1710.131201903478
2019,Male,2100.529606040253
2020,Female,2028.723328168041
2020,Male,2468.4802751155594
2021,Female,1858.284859500147
2021,Male,2176.8198813931576
2022,Female,1690.8500323599872
2022,Male,2298.3287623097235
