Gender,age_cat,black_years_lost,white_years_lost
Female,55-59,564.907503477353,148.30524172928568
Female,60-64,733.2771429719535,246.4161363665619
Female,65-69,942.1176288535337,391.8376067895809
Female,70-74,1316.016449945208,670.8537291828543
Female,75-79,1768.9008790322214,1125.3471279468918
Female,80-84,2491.5112409677554,1983.4521283356967
Male,55-59,782.0190370959328,234.59588058031522
Male,60-64,1044.2282830494369,359.2578071378835
Male,65-69,1271.6169742264071,532.0039407844188
Male,70-74,1578.4206703977227,823.9691090966568
Male,75-79,2018.5923220108436,1276.5334120160733
Male,80-84,2498.319237930762,2062.9768956203084
