Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
1999,631.8560257876719,537.2441380520249,17716.074029438612,10844.01504939386
2000,562.6174505276999,508.7558981175389,15995.71484803348,10444.74332567613
2001,536.2733751427891,554.9408668680237,15635.945828824504,11754.49107038238
2002,550.9595280567587,562.4999350713134,16553.02255134198,12359.721073332359
2003,558.8656012666593,513.6004025208621,17325.42603680378,11722.338547075778
2004,498.0332212951449,575.8208126314103,15957.163702256112,13667.060922141512
2005,565.8084039860047,599.9778457554473,18789.15047237373,14870.108919676682
2006,470.83943724319886,563.1053945099322,16196.321050630095,14534.240133994575
2007,500.0152883222963,614.6372943472342,17785.048790488643,16475.586237149462
2008,520.0471030625415,681.198007205468,19141.80536151851,18991.16692674175
2009,475.2037961435627,622.1648809416067,18135.459082276702,18077.06283224648
2010,451.68709403543835,593.8920057255316,17758.060034519498,17865.28708755378
2011,439.24799062568195,559.3903511092747,18100.658579620384,17726.43692774914
2012,469.1652316596916,643.735330115621,20066.975772369566,21246.433071639665
2013,540.7077905171695,684.879124820601,23987.78739201075,23547.123688480755
2014,503.6488796282142,665.6361507080347,23193.010760924084,23804.18714171443
2015,510.1719453572449,730.1745559098799,24361.950108635665,27138.521849177014
2016,616.6414765558568,703.3131668050091,30394.91201940333,27026.67221437451
2017,613.1466721746965,765.8613815897529,31229.522083208252,30411.972532238295
2018,578.3241580891854,806.6894462640953,30253.836982670073,32909.2993050669
2019,630.2801756110608,874.2036133911199,33909.054539469806,36660.48908470027
2020,695.0285628676622,952.4308222835307,38321.60916340795,40906.818098303644
