age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.17457908641291067,0.8409986360531211,0.3640177926377638,1.6072983697639782
25-29 years,0.3195045755210331,2.0820148153870055,0.7965701068975682,3.3586669621215433
30-34 years,0.6773559084880586,4.548793909995902,1.7485053354476405,7.5725918450431875
35-39 years,1.370892885158737,7.789657697537032,3.3472120906705203,15.020489889875005
40-44 years,2.6379909134311603,14.563776647850759,6.289491466478374,25.865314263731783
45-49 years,4.54483922539856,23.1572667730283,10.704614418926248,40.62477116645789
50-54 years,7.18322005241028,34.60091627894307,16.720666090943276,60.864422829237846
55-59 years,10.877451549099654,46.69914784825276,24.23556596901115,86.9800069993998
60-64 years,16.048651968513553,64.42717638973025,33.07550910091977,119.43256482033398
65-69 years,23.717127376958487,85.55250426442439,41.33420788771751,147.8140801289698
70-74 years,38.99399891006467,121.49588840896692,54.83969748522101,186.54831422064575
75-79 years,69.83107228785639,186.75122864903452,83.76870036949546,251.78759854253232
80-84 years,142.79360722722552,306.3773075736145,149.1592863928709,367.2171373677518
