Year,black_Female,white_Female,black_Male,white_Male
2000,41.927404236047,9.59244848823726,54.887053453409,12.500627118381
2001,40.842508039819,9.90941816956474,55.2226491243645,12.7719393999874
2002,42.4716706299255,10.2359439648419,58.1773616121284,13.5936477732541
2003,44.133275274395,10.8731564588667,59.8823579139719,14.5042779223447
2004,42.4259829119818,10.700447004773,60.1065687711398,14.8304043893475
2005,41.0379546131292,10.8315825886574,60.3031577081378,14.9866110640433
2006,38.9139026484776,10.5023870142595,59.8662898137043,15.0235624286122
2007,37.7068459411756,10.5069396228888,57.701570477329,15.0327527300508
2008,39.8118955646271,10.7844463026884,58.7505991744774,15.9286857683642
2009,38.7660136713015,10.801889608305,58.8165677817459,16.160372377025
2010,37.3287471992346,10.9043790147898,57.8957176465991,16.1609248876533
2011,35.2080069580596,10.9542948297695,55.872372550068,16.625020526967
2012,35.9400071501111,10.9799046525029,58.3213928101096,16.9041176074348
2013,36.7240569367175,11.6985999263167,59.6849476956734,17.9875797327652
2014,36.2805706599393,11.8348370990069,58.6032940726663,18.6614916609777
2015,37.2279519151319,12.6380598106625,59.4849354846054,19.5921848889544
2016,37.1605515036046,13.1760383598935,62.8129775661353,20.5660666404641
2017,37.7247082324013,13.8384009119209,60.809764478011,21.8194232731082
2018,37.5916521202911,14.1586513473194,64.3926993775645,22.815958078085
2019,38.6771087506548,14.9296780614091,65.0801430045886,24.2254219395117
2020,46.8563765364483,17.1586331813146,79.331032192414,27.5287951881967
2021,45.4708762770354,18.3432912437948,77.3128876875068,29.3030842953772
2022,44.0394771530415,19.6952765313435,74.9665276759127,30.6169818718672
