Year,Gender,Hypothetical_Excess_Deaths
2000,Female,3324.481326396043
2000,Male,3231.301099944352
2001,Female,3286.963334847243
2001,Male,3374.2092265182864
2002,Female,3495.0940575186605
2002,Male,3632.2466594731504
2003,Female,3719.17763166448
2003,Male,3856.0766254148143
2004,Female,3620.582387167058
2004,Male,3924.8039148752123
2005,Female,3518.301662860033
2005,Male,4020.685810105071
2006,Female,3408.9732960485385
2006,Male,4066.049250452543
2007,Female,3333.5395304419276
2007,Male,4045.459518458724
2008,Female,3655.1098195352424
2008,Male,4134.203229062446
2009,Female,3608.0732265737797
2009,Male,4293.563434302552
2010,Female,3480.1101591018205
2010,Male,4271.713271216084
2011,Female,3303.4803267455436
2011,Male,4200.817868823987
2012,Female,3475.562527548786
2012,Male,4520.172259021812
2013,Female,3576.5696127226684
2013,Male,4616.962854551711
2014,Female,3591.8015494367282
2014,Male,4611.3035093260005
2015,Female,3705.6608212879823
2015,Male,4705.360088404141
2016,Female,3691.828276767748
2016,Male,5079.163958359324
2017,Female,3808.517617015055
2017,Male,4986.766066686782
2018,Female,3848.180928883591
2018,Male,5378.298268309513
2019,Female,3953.847251109956
2019,Male,5420.163131624505
2020,Female,5105.941043431318
2020,Male,7047.065961603596
2021,Female,4714.48443428521
2021,Male,6782.334366239005
2022,Female,4304.912866247803
2022,Male,6331.217296526972
