Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,51.31805522245191,10.63857129405996
Female,25-29 years,118.99944591568551,18.4490130999203
Female,30-34 years,235.2695527179976,35.70758159392262
Female,35-39 years,363.62367700855503,67.41995515135521
Female,40-44 years,614.25800776372,118.18764249526866
Female,45-49 years,868.1129260952632,178.98585050398881
Female,50-54 years,1139.200891485051,243.35898001308044
Female,55-59 years,1325.6690397827072,308.00372339328
Female,60-64 years,1540.369141656052,377.36440433244155
Female,65-69 years,1697.708920974939,459.6342413354132
Female,70-74 years,1951.0220255913546,614.9817686610735
Female,75-79 years,2345.660711987012,874.2721174744884
Female,80-84 years,2900.9869986572803,1361.5450128205914
Male,20-24 years,89.99530408506473,21.111372625467336
Male,25-29 years,175.2990056343566,41.88514008651327
Male,30-34 years,360.99221543044996,84.14988347998192
Male,35-39 years,643.8774417844122,149.0943789884216
Male,40-44 years,993.9879956458401,252.22011852982985
Male,45-49 years,1372.8432914006687,376.0368381568432
Male,50-54 years,1780.9368786405948,502.63430952578733
Male,55-59 years,2158.5581503767125,604.9605857055165
Male,60-64 years,2468.7582560972864,675.3274185422972
Male,65-69 years,2498.685530003514,688.3495811956909
Male,70-74 years,2544.399799327667,733.6394313736679
Male,75-79 years,2687.583336281065,885.9087389311691
Male,80-84 years,2933.891178626293,1192.7228699447428
