Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,40.67948392839195,14888.456397169188,68.88393145959739,25230.253277051714
25-29 years,100.55043281576522,35290.080832898995,133.41386554784333,44559.52933604689
30-34 years,199.561971124075,67105.57051789672,276.84233195046806,85564.34333649109
35-39 years,296.2037218571998,97823.17484716013,494.78306279599065,146802.6443581251
40-44 years,496.0703652684513,163534.5020466575,741.7678771160103,217612.4791979178
45-49 years,689.1270755912744,222349.99335898942,996.8064532438254,284473.7791160862
50-54 years,895.8419114719705,274158.49562269234,1278.3025691148075,342263.5059454562
55-59 years,1017.6653163894272,276309.6072885185,1553.597564671196,359406.2310957834
60-64 years,1163.0047373236105,260275.9128645011,1793.4308375549892,327780.09942757135
65-69 years,1238.0746796395258,216456.68188782115,1810.3359488078231,243288.49558659556
70-74 years,1336.040256930281,175705.49995464852,1810.7603679539993,169508.88145730612
75-79 years,1471.3885945125235,141029.52158186285,1801.674597349896,110074.1923456446
80-84 years,1539.441985836689,102347.98388680897,1741.1683086815501,63428.985493594024
