Year,black_Female,white_Female,black_Male,white_Male
1999,271.769919042933,173.225964362306,450.720643568409,357.175954563521
2000,263.674591951864,163.536430915336,435.561862254387,340.550455973319
2001,251.740157281824,156.136836292744,421.727918793915,321.566545185605
2002,241.403522979071,149.201123483778,404.629597069575,311.252937799017
2003,226.734638129798,142.112956472451,397.73036300527,295.406366954026
2004,212.148400092703,131.58669585303,361.469548936367,274.200594172449
2005,202.412453576127,126.033496739969,351.076124902654,262.621267897274
2006,187.352259096846,117.646618723048,339.983902811111,249.364564498353
2007,175.273858355315,109.617461047542,314.29058644014,234.507471196692
2008,166.762503517205,107.803336400775,301.913403190608,228.50021782061
2009,157.778578317822,100.258862694849,286.109213659882,216.451704232182
2010,149.345179223683,95.5364317410584,274.061817105713,209.959831513344
2011,142.37477033947,92.0343360645659,263.094117340269,203.592471572975
2012,135.242878113059,89.5667186829892,256.353925513303,196.978259201786
2013,133.725661276612,86.2098617718753,249.698631220555,194.287392911725
2014,128.433409306281,84.2399969150084,242.369231463975,190.00860858803
2015,124.860501698847,84.0884646858595,239.478807777984,186.667652544348
2016,126.297194881671,81.0735732357267,239.268259355538,184.754791215798
2017,119.657409296733,79.424710587414,237.298816837389,182.993260829031
2018,118.399078143127,77.7085200446322,236.86686785839,179.845310925169
2019,113.509818797623,75.0740255654318,226.580397065,174.675262467797
2020,127.571248640989,77.4481025848789,255.64013156948,181.639690257713
2021,124.496630357382,79.8307287571262,249.276213311638,183.172909002499
2022,116.546747657235,79.2718288500589,239.604273366076,179.66073952464
