Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
1999,103.25629978585098,98.578730356155,1.5782542816468452,1.2681565137965778
2000,104.31428523027901,99.72126891501597,1.6185208359972951,1.2845430675794425
2001,100.112857761329,105.68993350308,1.6216372380117068,1.3192139501292732
2002,95.842484877841,98.172143038086,1.6226631923137678,1.3063089536974692
2003,88.23270047136799,106.93592982830899,1.6018801177943542,1.3514811503762938
2004,83.70084727498602,91.56782618873297,1.6168635090035783,1.3243672729120148
2005,79.70515802717298,92.275620604864,1.6132387440040166,1.3412971584736126
2006,72.35622021596001,94.11655398566103,1.5965492085549267,1.366665931168353
2007,67.989150340237,83.32715602172598,1.601628923866364,1.3453023611855373
2008,61.086049783435996,76.495610374911,1.5494219780867884,1.3253569064466297
2009,59.63520491289398,71.88203577022102,1.5765597916200236,1.3225799595024659
2010,55.70489032138491,66.29165830974603,1.565036276469693,1.3065676629495213
2011,52.251860112410014,61.758644273444986,1.5502774447298335,1.2947212174308353
2012,47.2503884865455,61.96197728564701,1.5114865127315715,1.305644836590768
2013,48.97082126944619,57.57697776470198,1.550707648818931,1.2878540708231223
2014,45.81530856448799,54.458330304610996,1.5270499561458757,1.2785129485796844
2015,42.493562639496986,54.27537956719402,1.4899271275413717,1.2825890048200896
2016,46.947606081232095,56.445743757981006,1.561420858238214,1.2969335539364908
2017,41.6901375326333,56.00441775003401,1.5088292847099616,1.2974863293757557
2018,42.2399438501118,58.889112364335006,1.526843881219479,1.3182414963769855
2019,39.9398216658781,53.751708836278,1.515822984147703,1.2991343727024016
2020,52.03076024558649,76.51098588753302,1.6508040221687803,1.4091109381252613
2021,43.89818594942801,64.392392718276,1.5369320493127827,1.3435653593728696
2022,38.186656885894095,62.17699267263001,1.4789387308485231,1.3428202997726062
