Year,Gender,Hypothetical_Excess_Deaths
1999,Female,7279.35131682969
1999,Male,5480.210668278867
2000,Female,7469.177394536677
2000,Male,5487.234518975249
2001,Female,7379.635388398957
2001,Male,5904.3001143971605
2002,Female,7202.239308354817
2002,Male,5662.51784415094
2003,Female,6822.05245763202
2003,Male,6170.936572710433
2004,Female,6605.885415669517
2004,Male,5599.610318578585
2005,Female,6448.865402840618
2005,Male,5766.812319336661
2006,Female,6005.321803653964
2006,Male,5927.276338703175
2007,Female,5766.283079772745
2007,Male,5505.217410799744
2008,Female,5384.713098748073
2008,Male,5103.152444129906
2009,Female,5314.183997128
2009,Male,5083.592201083158
2010,Female,5068.4039005174345
2010,Male,4683.790948981998
2011,Female,4913.651099308995
2011,Male,4645.575253389578
2012,Female,4619.991994075412
2012,Male,4813.765726340958
2013,Female,4902.319846560094
2013,Male,4668.755289821707
2014,Female,4714.574431354412
2014,Male,4558.616971564772
2015,Female,4571.683647699136
2015,Male,4669.923217724836
2016,Female,5166.1226095107995
2016,Male,5031.713089688424
2017,Female,4741.264785877805
2017,Male,5243.895857503651
2018,Female,4961.882745879526
2018,Male,5545.929682343336
2019,Female,4798.684582290589
2019,Male,5281.379152707806
2020,Female,6336.204239523528
2020,Male,7471.269226251157
2021,Female,5483.870070041704
2021,Male,6818.433849876533
2022,Female,4817.060620921453
2022,Male,6519.10539970996
