Gender,age_cat,black_years_lost,white_years_lost
Female,35-39 years,500.53425772061456,229.60425906105414
Female,40-44 years,903.0027210761235,437.43858046637274
Female,45-49 years,1487.784874256093,717.9084982145679
Female,50-54 years,2325.0001675801277,1117.4269580342702
Female,55-59 years,3343.967264983031,1638.7600046839605
Female,60-64 years,4566.985150464555,2362.2184430691827
Female,65-69 years,5736.33279910899,3174.7164179826123
Female,70-74 years,7081.787228350484,4348.36975437023
Female,75-79 years,8777.09628368865,6035.790926962856
Female,80-84 years,10622.847547229032,8552.757395438812
Male,35-39 years,976.4299002441495,592.9151850933534
Male,40-44 years,1766.9785566487246,1217.8963319377276
Male,45-49 years,2983.182186925636,2108.1782815619376
Male,50-54 years,4712.745471339441,3251.0530562820823
Male,55-59 years,6620.136653828684,4399.06829447325
Male,60-64 years,8458.219117326104,5595.353222607118
Male,65-69 years,9646.159200038652,6602.8292865442
Male,70-74 years,10897.662724906015,7922.936721572188
Male,75-79 years,12083.033766472054,9756.198840317433
Male,80-84 years,13215.790590525328,12361.400478829617
