Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
35-39,233.1160147983952,73364.25805498309,335.8842448072552,94437.93642113422
40-44,429.75297608305556,135179.31433049645,509.08799559876434,142041.76164560157
45-49,772.7787705161566,237817.57401424952,843.6781901166974,229114.6910324166
50-54,1242.5398191524628,357457.2845836814,1470.8306669026247,368872.5351972297
55-59,1761.0857373340125,441213.15732068516,2272.200022312627,482725.8499922877
60-64,2274.3291068783324,461285.88855172694,2900.3637391063485,477063.57428135566
65-69,2635.7637775254393,415226.15371325664,3048.1898047025425,367125.3822456844
70-74,2821.6436040880462,334863.9440544327,2984.503093949873,250565.6882643561
75-79,2821.1569635327432,249575.85128135572,2374.278419785267,132725.41642743154
80-84,2134.918121853696,131846.43733985577,891.6066532491386,29812.134532832566
