Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
1999,2601.697729634696,2163.742147001629,204362.4200516227,138831.45170573556
2000,2652.6526275358274,2195.4294676485733,212129.12912257176,143928.71148612417
2001,2572.872411721526,2331.8129356822737,211532.95056916465,157700.15906825184
2002,2476.268453304636,2195.5333469176594,207667.12796069498,151716.90897137797
2003,2303.1763959246023,2393.148915322533,196874.85040248022,168791.71263937495
2004,2226.1360343301462,2099.370145458931,193817.88824950426,151210.13682598752
2005,2040.775996120738,2081.273395123322,181297.1518467366,153355.42495863352
2006,1889.2594421085314,2150.146464884202,171274.30985431682,162045.63781574537
2007,1788.93801450815,1913.151400324391,165141.5730262255,147146.48149434594
2008,1621.2324072894544,1769.7103641691865,152179.60630672445,138701.10288307094
2009,1604.8550780188539,1713.565861982489,152946.66897579026,136603.49991650274
2010,1498.3786927356182,1569.9086750879678,144529.51812744656,126883.97529047079
2011,1401.5200164584476,1472.9838599989253,137417.74821533565,120979.36079668794
2012,1279.8266851100789,1474.9322128327549,127282.14257664605,122893.00389730351
2013,1329.1494165758086,1378.494964310763,134102.47020382053,116539.71497143658
2014,1241.9247078592775,1305.5912345438492,127443.2211279965,112254.51239557029
2015,1140.1738048037282,1310.265633285021,119023.45039122018,114604.28350044265
2016,1276.1173959160947,1370.8914057269558,135037.44119609732,121537.9403909258
2017,1129.7599562264154,1363.1720242442543,121624.2967899552,122878.60276265758
2018,1149.451110434332,1427.2376507384652,125199.62877337328,130171.3526593668
2019,1089.8105654429646,1312.405844046436,120248.57528609432,121183.23782402098
2020,1365.6098198172276,1794.6022778379274,152632.243082831,167848.97158595358
