age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.38052785241564124,2.0669057387637837,0.9606390123400914,3.0826346402041485
25-29 years,1.0761899299669917,5.713882556589108,2.7053955351810774,8.825525568567013
30-34 years,2.516181938389538,12.921087534671347,6.384292930564115,21.237465999917838
35-39 years,5.3553121686807446,24.269561770653482,12.952920512335805,43.568129145894694
40-44 years,10.816371980844531,45.27333763053927,25.28712723135506,77.97847872456111
45-49 years,19.82369168581223,78.18118020765026,46.546514017346176,133.75632341593072
50-54 years,35.272310404227206,127.33302092827431,80.21828159660157,218.39138842429497
55-59 years,59.11123006776977,192.1457404008444,129.46552621703586,341.70686906689195
60-64 years,98.25562926193811,286.9613259283592,196.26358834448615,506.59433000343296
65-69 years,158.917655345137,415.67333883933065,279.0410355410188,690.2550558336363
70-74 years,274.64533065986836,615.421167591165,415.0628766456565,938.5757395792996
75-79 years,492.2146933154849,953.5785054684236,655.4208809170643,1318.750212738673
80-84 years,933.2788388326233,1518.0125191931195,1113.2237138513055,1932.8422904636436
