Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
1999,67.4700824966426,87.1036278565421,3.204920508166932,3.289852221635886
2000,124.00401162363448,159.85312065470652,2.9321264393324835,2.8543268085589233
2001,119.84147755139739,158.0386070353939,2.845462850073347,2.796265821089126
2002,118.5217403930263,157.8504799620443,2.756660673016392,2.7204233917944753
2003,119.08310922790379,162.71352296139048,2.716267549362033,2.6922176751200144
2004,116.5847256838938,157.7272251085348,2.679567929797607,2.6053849293095963
2005,113.8648883346357,159.54061145596597,2.586039630925196,2.5725582059635297
2006,115.0971633925352,167.31647863280898,2.549828431640715,2.569431321060444
2007,109.37180698032591,161.81632525837597,2.467924941308375,2.4986985707170524
2008,107.1558503100873,155.04950599802402,2.4217197772139474,2.4115983663445353
2009,103.42620199853022,150.82423908696398,2.4004172067828855,2.37870500789006
2010,99.63113549574051,146.38805775471798,2.3358285637055314,2.31036255817428
2011,96.18868863579311,146.420370700425,2.2439553001677695,2.264642124678065
2012,93.94269597062309,146.234288748616,2.209911362479502,2.247052925830631
2013,91.3314461556197,142.150320118658,2.1791068043543134,2.19135910324779
2014,85.05475097659459,132.813760637016,2.1088028799343563,2.09146646544512
2015,82.6359847264821,131.64281399075702,2.048387727859405,2.0607325974249675
2016,84.96954771235279,136.505956170625,2.059463048870031,2.0609385559787086
2017,81.9620369264432,134.284208662228,1.9835984039438073,2.0046421773805774
2018,80.96198081521179,137.34938543673402,1.9523341556106226,1.9852278487263226
2019,80.59956915562499,135.059415559395,1.9217000084995133,1.9275858576589322
2020,123.003880885601,208.120422792228,2.150386874879127,2.167941140797739
2021,115.06277687906899,179.19221124463397,1.9744042059782543,1.9234639582973025
2022,92.70008342446101,158.21407490156398,1.7992937520047745,1.842230718921585
