Year,Gender,Hypothetical_Excess_Deaths
2000,Female,12680.105011435915
2000,Male,11788.85002090267
2001,Female,12613.660458724204
2001,Male,12155.30616725021
2002,Female,12764.98169661749
2002,Male,12500.58258935445
2003,Female,13169.686953638036
2003,Male,13217.083694121735
2004,Female,13144.509379779793
2004,Male,13281.300981154298
2005,Female,13165.108330872097
2005,Male,13754.32534757271
2006,Female,13652.887182227112
2006,Male,14837.39672458045
2007,Female,13317.208764288907
2007,Male,14745.198997700449
2008,Female,13366.514785852036
2008,Male,14504.282631742115
2009,Female,13198.321976226925
2009,Male,14598.795657607467
2010,Female,12973.371358022816
2010,Male,14512.8304089657
2011,Female,13008.802693314808
2011,Male,15199.88282184921
2012,Female,12995.575529291335
2012,Male,15511.328641503776
2013,Female,12995.759024207176
2013,Male,15533.700541059816
2014,Female,12506.617439714026
2014,Male,15121.794752520189
2015,Female,12543.169528129456
2015,Male,15481.292553423757
2016,Female,13222.860882099787
2016,Male,16495.014825691454
2017,Female,13155.932065552308
2017,Male,16871.072777509016
2018,Female,13413.060226895106
2018,Male,17689.797801182292
2019,Female,13727.218041371256
2019,Male,17917.939829239804
2020,Female,21403.86846113999
2020,Male,28044.741356352053
2021,Female,20285.907750154154
2021,Male,25267.643379546007
2022,Female,16647.351893145526
2022,Male,22539.642207175963
