Gender,Race,Year,yrs_lost
Female,Black,1999,2752.3807926029094
Female,Black,2000,5265.502516878217
Female,Black,2001,5254.884188022618
Female,Black,2002,5298.013215245674
Female,Black,2003,5417.383818651595
Female,Black,2004,5449.7094445136645
Female,Black,2005,5243.825917027651
Female,Black,2006,5427.362450936834
Female,Black,2007,5291.777548250811
Female,Black,2008,5295.069969945573
Female,Black,2009,5248.283850053309
Female,Black,2010,5136.020877893565
Female,Black,2011,5122.779509496551
Female,Black,2012,5076.725582232921
Female,Black,2013,4997.458414678029
Female,Black,2014,4821.191453097206
Female,Black,2015,4784.372337117785
Female,Black,2016,4938.739178257401
Female,Black,2017,4920.505270753703
Female,Black,2018,4964.286940071417
Female,Black,2019,5058.10946541261
Female,Black,2020,6661.667954845521
Female,Black,2021,6690.638864446202
Female,Black,2022,5985.764202091286
Female,White,1999,844.275001591073
Female,White,2000,1768.0082584352679
Female,White,2001,1818.6075690300431
Female,White,2002,1892.126704768702
Female,White,2003,1967.305090957729
Female,White,2004,2012.5321486814596
Female,White,2005,1992.4766015677376
Female,White,2006,2094.240732361318
Female,White,2007,2108.769036671381
Female,White,2008,2156.3645975088953
Female,White,2009,2158.991896495932
Female,White,2010,2170.452616438766
Female,White,2011,2252.331154171508
Female,White,2012,2269.8370976505953
Female,White,2013,2266.6115731880914
Female,White,2014,2261.6670263070814
Female,White,2015,2309.303363233542
Female,White,2016,2374.373128550326
Female,White,2017,2455.873599437369
Female,White,2018,2512.0021631603327
Female,White,2019,2603.0820187909276
Female,White,2020,3053.944356588391
Female,White,2021,3345.842080122209
Female,White,2022,3286.4964892356256
Male,Black,1999,2998.050871097998
Male,Black,2000,5917.272994561392
Male,Black,2001,5984.588189431902
Male,Black,2002,6103.022286453966
Male,Black,2003,6405.063028062657
Male,Black,2004,6471.373147705888
Male,Black,2005,6425.546316064614
Male,Black,2006,6849.284172448832
Male,Black,2007,6798.634754463154
Male,Black,2008,6728.987322532056
Male,Black,2009,6718.011819753082
Male,Black,2010,6674.3694422545395
Male,Black,2011,6827.970979174225
Male,Black,2012,6885.821636752146
Male,Black,2013,6836.276789940446
Male,Black,2014,6689.799931322762
Male,Black,2015,6709.330585643344
Male,Black,2016,7004.124539026283
Male,Black,2017,7059.013924561416
Male,Black,2018,7319.087976469679
Male,Black,2019,7445.960436908394
Male,Black,2020,9909.746627249368
Male,Black,2021,9298.881436838217
Male,Black,2022,8612.57213032734
Male,White,1999,890.2281771170595
Male,White,2000,2038.3331991101024
Male,White,2001,2102.919787160014
Male,White,2002,2204.5631211398004
Male,White,2003,2345.694336059777
Male,White,2004,2451.1916027572897
Male,White,2005,2457.6535498457915
Male,White,2006,2626.3057928076323
Male,White,2007,2681.5468454749025
Male,White,2008,2754.0946397493594
Male,White,2009,2791.939759370402
Male,White,2010,2857.959820193173
Male,White,2011,2978.386811617723
Male,White,2012,3034.6960521107453
Male,White,2013,3088.6662522540423
Male,White,2014,3170.540569856397
Male,White,2015,3225.4707005301752
Male,White,2016,3374.239262023361
Male,White,2017,3487.18468822143
Male,White,2018,3657.035312035296
Male,White,2019,3825.214261919567
Male,White,2020,4536.4499534192355
Male,White,2021,4784.0094393960635
Male,White,2022,4628.113978888157
