Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,103.2055438448616,39146.993913116545,119.6770765792524,45345.245791213725
25-29 years,258.3633251037787,94186.53618817661,309.1606010091026,107052.52501321828
30-34 years,524.5648690748454,183704.04396645477,678.2414246720994,218091.49401833938
35-39 years,871.7546621754291,301042.75852754904,1274.7250493713886,395219.76969101094
40-44 years,1423.0090336252733,489325.63391426683,1963.808509087478,600637.941491208
45-49 years,2144.7168503187213,717583.2242699685,2863.2090598607074,846527.9441716903
50-54 years,2980.7528338587254,939946.0380771748,3944.0040987343623,1087081.9057300535
55-59 years,3750.049654778141,1044572.5062878033,5196.792574137236,1232042.4355912434
60-64 years,4515.10601179686,1036915.0457010438,6343.639023696003,1188550.297373146
65-69 years,5145.322343512156,925709.9157092918,6890.201193264282,951903.8947093745
70-74 years,5529.6462000315905,751283.611480508,7115.104097356198,686610.8894937988
75-79 years,5823.29433672792,578147.2019130974,7058.752066944048,445861.4861196773
80-84 years,5457.306541340189,375253.23861914844,6444.543331030371,242045.18955377166
