Year,black_Female,white_Female,black_Male,white_Male
1999,248.525218270582,205.708126453692,423.900607992405,293.09214345116
2000,243.902357680757,205.969856035969,417.525520302538,289.518595786482
2001,241.743008968378,202.790836154659,402.739969502146,284.07456297298
2002,239.346417793592,201.159450472312,391.477414802685,280.634753429489
2003,235.390874100486,198.308107632264,378.260911744159,274.562713095931
2004,229.161170466518,194.947367838051,367.501340541354,267.775858174439
2005,226.113875414611,192.782147668876,357.907381692192,265.255342552455
2006,222.020002575446,191.144814508537,347.881503907731,260.311886818308
2007,221.010903802487,187.845447671992,340.177220697698,255.627328248736
2008,213.452063620955,184.260187987641,329.79372019299,251.603751977764
2009,211.171690078994,182.442425001714,324.87248812089,246.841547358802
2010,209.802875801746,180.078507769406,320.752529820152,244.420168215608
2011,209.142357366909,176.670337056775,307.560360160789,239.365516440829
2012,204.40563635053,174.558161911854,301.04146134129,235.237986617524
2013,200.341909897055,171.904929362819,292.768773757436,230.037462454152
2014,197.399231061743,170.405323916334,283.89255732535,227.247466689898
2015,192.391760695549,167.226363684491,275.718116588147,222.988810505157
2016,191.713679825704,164.806440628125,269.525291469992,217.663948701035
2017,186.662641960387,161.457067742983,263.296962456114,212.571073504158
2018,182.650924406672,157.748876953757,254.817537814796,206.967931309694
2019,179.178348859583,153.885379310619,248.568114773609,202.542456559435
2020,174.712535990516,152.511972370017,242.19039645751,199.986712119019
2021,172.489083046105,154.032569034898,235.033453909984,197.886321890771
2022,169.970968728588,151.988852950126,232.333307642036,193.863682485997
