Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,253.44879648966375,206.42616799962207
Female,25-29 years,457.55314170065543,332.3658056418964
Female,30-34 years,864.2041360052353,615.2422761315107
Female,35-39 years,1582.1811105174775,1092.1567780331975
Female,40-44 years,2627.0914360077745,1845.5464920125492
Female,45-49 years,4115.392395441223,2965.464607396284
Female,50-54 years,6000.077959904526,4444.531658138362
Female,55-59 years,8093.903970686586,6170.372875638355
Female,60-64 years,9991.57746145189,8043.798224513017
Female,65-69 years,11391.367707411893,9650.501895739912
Female,70-74 years,11885.268080102967,10884.864644883091
Female,75-79 years,11740.839809509693,11208.670831949978
Female,80-84 years,10765.595114124333,10500.023048867273
Male,20-24 years,310.6079013195585,274.0113806746633
Male,25-29 years,397.9279651377168,353.572158842382
Male,30-34 years,588.5697744945177,498.9827427906213
Male,35-39 years,941.2849079456106,780.0267078898339
Male,40-44 years,1773.3439272860649,1358.9899516734117
Male,45-49 years,3465.731501873254,2494.8259695633983
Male,50-54 years,6173.818540291984,4281.323391083898
Male,55-59 years,9776.679208923499,6662.789373023475
Male,60-64 years,13270.094407854322,9252.180156002281
Male,65-69 years,15761.082201205016,11532.991085104362
Male,70-74 years,17259.406158973026,13316.66920032504
Male,75-79 years,17543.69049279048,14230.241434431086
Male,80-84 years,16981.143226919226,14155.20879253344
