Gender,Race,Year,yrs_lost
Female,Black,1999,7070.230164540812
Female,Black,2000,6932.253528952465
Female,Black,2001,6972.3067526626455
Female,Black,2002,6909.1278213826245
Female,Black,2003,6853.181351322453
Female,Black,2004,6795.343845332257
Female,Black,2005,6491.438532275016
Female,Black,2006,6455.059859416979
Female,Black,2007,6445.600248562793
Female,Black,2008,6279.620960324239
Female,Black,2009,6314.202891411237
Female,Black,2010,6260.257632429385
Female,Black,2011,6243.435478342606
Female,Black,2012,6116.582140680451
Female,Black,2013,6000.149740168853
Female,Black,2014,5950.0850326540485
Female,Black,2015,5765.351014085658
Female,Black,2016,5788.796212666854
Female,Black,2017,5618.380883229081
Female,Black,2018,5518.009322201789
Female,Black,2019,5444.875614832272
Female,Black,2020,5123.804714411642
Female,Black,2021,4995.030130089768
Female,Black,2022,4921.80127144669
Female,White,1999,5833.409932233115
Female,White,2000,5838.412411181687
Female,White,2001,5826.718209880861
Female,White,2002,5788.927328155738
Female,White,2003,5752.583371652664
Female,White,2004,5757.358126951493
Female,White,2005,5501.4471424603
Female,White,2006,5524.9385857208745
Female,White,2007,5448.358914745249
Female,White,2008,5385.495576028731
Female,White,2009,5427.236316579016
Female,White,2010,5342.809176326308
Female,White,2011,5242.829606330384
Female,White,2012,5198.006558673052
Female,White,2013,5118.655540107403
Female,White,2014,5102.687000977499
Female,White,2015,4976.70355850726
Female,White,2016,4945.571314504521
Female,White,2017,4828.1243918552655
Female,White,2018,4732.630836138921
Female,White,2019,4646.5033464668
Female,White,2020,4437.782536812643
Female,White,2021,4429.51242689551
Female,White,2022,4377.849126713257
Male,Black,1999,10088.014212008016
Male,Black,2000,10015.714423835114
Male,Black,2001,9773.316724018354
Male,Black,2002,9556.028953970837
Male,Black,2003,9340.51210538792
Male,Black,2004,9271.180075117094
Male,Black,2005,8809.754074166345
Male,Black,2006,8685.061041851954
Male,Black,2007,8557.044811518374
Male,Black,2008,8366.184402277482
Male,Black,2009,8375.376578503645
Male,Black,2010,8291.75827643827
Male,Black,2011,7999.974954681054
Male,Black,2012,7862.848112614025
Male,Black,2013,7653.490211546948
Male,Black,2014,7460.075836271827
Male,Black,2015,7226.364734633928
Male,Black,2016,7123.995574680252
Male,Black,2017,6918.021567789079
Male,Black,2018,6724.762887071769
Male,Black,2019,6574.770848022103
Male,Black,2020,6198.172960513377
Male,Black,2021,5821.71196206589
Male,Black,2022,5755.181991042705
Male,White,1999,6949.740233369146
Male,White,2000,6930.620361493971
Male,White,2001,6875.673816787347
Male,White,2002,6825.33851181364
Male,White,2003,6753.1373161857055
Male,White,2004,6729.786914764385
Male,White,2005,6478.592842804501
Male,White,2006,6464.116724638872
Male,White,2007,6390.658701593415
Male,White,2008,6345.307806444461
Male,White,2009,6328.061675005051
Male,White,2010,6287.358872703565
Male,White,2011,6184.9785711901195
Male,White,2012,6107.7069088798835
Male,White,2013,5974.197617872223
Male,White,2014,5934.6894063072095
Male,White,2015,5814.091986684296
Male,White,2016,5717.207984195532
Male,White,2017,5556.447032747716
Male,White,2018,5441.84744799207
Male,White,2019,5333.6025497768505
Male,White,2020,5101.949487240607
Male,White,2021,4883.776188686825
Male,White,2022,4791.379983477181
