Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,47.02262849004168,17836.198354281063,36.59652064489518,13866.299805937037
25-29 years,125.18733605875906,45637.13349510258,44.35580629533479,15359.010971689066
30-34 years,248.96185987372462,87187.12050403723,89.5870317038964,28807.101539716437
35-39 years,490.02433248427997,169219.94592901002,161.25820005577668,49997.00030862318
40-44 years,781.5449439952254,268747.39802506455,414.35397561265313,126731.66340252169
45-49 years,1149.927788044939,384744.9091940942,970.9055323098555,287055.0655114116
50-54 years,1555.546301766164,490523.59081310057,1892.4951492080863,521626.54548107565
55-59 years,1923.5310950482308,535797.6245239677,3113.889835900024,738233.1241538929
60-64 years,1947.7792369388735,447316.53945867176,4017.9142518520403,752800.2714246801
65-69 years,1740.8658116719816,313204.2340974182,4228.091116100653,584124.655828166
70-74 years,1000.403435219876,135919.4925970492,3942.736958647987,380475.9695959014
75-79 years,532.1689775597151,52834.69931797791,3313.4490583593943,209291.85602938323
80-84 years,265.5720652570599,18261.165433821156,2825.9344343857865,106136.89763617088
