Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
2000,30.683554446789906,45.8180598791127,1.6838168522987103,1.869755095485781
2001,31.0037146964465,44.4864055987177,1.7275870037025196,1.8947642428083833
2002,29.928269233799305,43.34029798856331,1.7121004372752355,1.9096549083884686
2003,30.082298206708906,43.52835482065531,1.7651831896038843,1.951580860233483
2004,28.8751415053207,41.91783803571129,1.7693104047348902,1.9754023497092064
2005,26.551793696009604,39.8772441622875,1.7520411995514134,1.9926994234590445
2006,25.047346252393304,39.331185516986196,1.7470634486068057,2.0441916306477816
2007,23.8308966578168,40.694387625019,1.7404500418446953,2.1192468531495985
2008,23.6350978197054,35.3234127429901,1.7546617480926394,2.0004341950104347
2009,20.9317381647244,32.4894935336444,1.7026589572397786,1.9554493451842967
2010,20.494932237090996,32.1421449624082,1.7017527644772976,1.9703074294558047
2011,18.566397296340103,30.654574204138996,1.6455338820538414,1.9455440638292083
2012,17.618005213029797,30.240933383751603,1.6342818821770115,1.960389269401525
2013,18.405859286928496,30.2910080660027,1.6840812044475386,1.9621140684263443
2014,17.943138472323596,31.5388387796917,1.659348541722656,2.007806126539195
2015,18.804818092191404,32.3595352563482,1.6791330995513343,2.0237444079706766
2016,18.687714163794496,30.774709120732396,1.6878501517880424,1.9652976868929364
2017,19.238946552167302,31.5480449634994,1.7099794357988474,2.0007589569323363
2018,18.4861953972437,32.3936748215273,1.6927004200119902,2.0452947107175015
2019,19.233195949224097,31.472418878458,1.729481220007058,2.0072486136232346
2020,20.896877170222197,36.14683580731129,1.7621174435085376,2.0983866789633807
2021,22.0745592405166,35.5041973738389,1.7574868878413734,2.0516050964732964
2022,20.481098376241302,32.92589610742449,1.714855839093312,1.9888433197491093
