Year,Gender,Hypothetical_Excess_Deaths
2000,Female,3174.1699771652343
2000,Male,3435.3104030945287
2001,Female,3294.9774665073815
2001,Male,3483.670200794224
2002,Female,3243.3674580726047
2002,Male,3470.684919613114
2003,Female,3348.898723931688
2003,Male,3590.0590150168355
2004,Female,3255.9621502682794
2004,Male,3543.020096800843
2005,Female,3083.216736794434
2005,Male,3512.029228404438
2006,Female,2985.794073534636
2006,Male,3577.227231366218
2007,Female,2930.4041777879834
2007,Male,3688.1307350455836
2008,Female,2957.1866675268834
2008,Male,3375.129086975089
2009,Female,2700.35853028278
2009,Male,3204.2737686529613
2010,Female,2694.332725339849
2010,Male,3264.2729453046636
2011,Female,2496.7305514967297
2011,Male,3244.8009549516537
2012,Female,2476.6255893979496
2012,Male,3211.1080548865216
2013,Female,2601.5671643131222
2013,Male,3312.3483182247423
2014,Female,2639.842322786477
2014,Male,3549.927154153556
2015,Female,2787.4243278570957
2015,Male,3720.584339498481
2016,Female,2858.546774079097
2016,Male,3621.575277364171
2017,Female,3044.222275149483
2017,Male,3850.728334191245
2018,Female,2989.1030817885453
2018,Male,4014.337922824508
2019,Female,3178.691426416635
2019,Male,4025.0713846643885
2020,Female,3541.9756292409024
2020,Male,4773.569347145628
2021,Female,3777.3009053067517
2021,Male,4826.582869335044
2022,Female,3606.874924560026
2022,Male,4578.780657697735
