Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,53.2816710887508,23.826191539537053
Female,25-29 years,91.92315296955627,39.98067355054254
Female,30-34 years,175.89737066452838,69.69567076967988
Female,35-39 years,309.7724483503015,115.75769474088978
Female,40-44 years,560.5780504764946,189.0684689147579
Female,45-49 years,843.1899130782857,280.41150556330973
Female,50-54 years,1108.8162067502803,376.4364478939484
Female,55-59 years,1308.0901569757812,499.20889139070425
Female,60-64 years,1696.1030124310194,691.6141813732911
Female,65-69 years,2142.1094665836144,1010.5603532682749
Female,70-74 years,2858.155098339001,1605.4359443362482
Female,75-79 years,3883.3330859522957,2586.935662221931
Female,80-84 years,4959.7150873911005,4027.6020002781947
Male,20-24 years,49.49566219838075,28.324130674738658
Male,25-29 years,92.69654095807667,42.40403470351743
Male,30-34 years,184.91185814949088,70.73939993928089
Male,35-39 years,349.18387471939747,115.23575495389413
Male,40-44 years,600.9799745531836,190.68902354696425
Male,45-49 years,955.9017083759919,297.65835989785677
Male,50-54 years,1390.510072658219,431.5603912694506
Male,55-59 years,1846.8763429545552,595.2571264240859
Male,60-64 years,2380.6775480349484,835.709972163111
Male,65-69 years,2881.5503039404325,1154.5876818150762
Male,70-74 years,3519.920614523283,1684.1124823365933
Male,75-79 years,4185.8145717103735,2484.9482082901472
Male,80-84 years,4773.43425717618,3536.822437852778
