Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,29.53234938041627,10808.669471576432,19.763085230847572,7238.664160780446
25-29 years,52.271855273549804,18345.79868262829,51.805753520348816,17302.84917753299
30-34 years,106.22110354078991,35718.36715179332,115.30927898282107,35638.9236691396
35-39 years,194.64596386083298,64283.07529920881,234.81041109807697,69668.49082752288
40-44 years,375.3312403048422,123731.65539245786,410.9789313311583,120568.90963356849
45-49 years,569.7436028118093,183830.3714780591,660.1023595516992,188383.42409806282
50-54 years,747.2861000595086,228695.2980972177,965.1837352301611,258426.42976941133
55-59 years,816.3167463954996,221640.80468010047,1267.8473191497042,293301.32650982024
60-64 years,1011.5416702195186,226379.0706671977,1554.4104457429862,284095.0427458396
65-69 years,1135.087804729617,198451.14669063454,1731.7199482406813,232723.40211893816
70-74 years,1259.165251228681,165595.50421106897,1837.2583004032826,171989.4056447691
75-79 years,1296.312320036839,124248.82658278216,1698.503536872653,103770.90585196782
80-84 years,931.0066970744433,61896.881667091824,1227.5597961217686,44718.75126172399
