age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,2.475958977323736,6.242921743915821,4.3203110960261455,9.996465162083638
25-29 years,4.570644632523876,12.139496282473152,8.093492315073982,19.5557308803933
30-34 years,8.328905808425155,23.23105976607031,15.627626468332888,38.415257584596546
35-39 years,14.945101369691999,40.132806468139044,29.832402371412797,71.23400508684104
40-44 years,26.63217304761804,72.17115360938737,58.36799574317564,124.85450138132114
45-49 years,44.265323042294234,117.74972377123713,104.84028637104163,210.1784030032268
50-54 years,70.60564230795696,180.17061065226693,174.5252716343358,337.4025158633991
55-59 years,111.8302783688872,264.5884308709478,269.3373443337486,512.3629913857901
60-64 years,181.26448623835864,397.31331733178723,403.8171906589944,759.2603018062658
65-69 years,293.43982865086775,582.5844922490613,584.5245429914729,1050.589096857246
70-74 years,520.7244335432823,894.8737518167651,905.2124948533599,1467.5278606817196
75-79 years,987.5531584224203,1449.9094985159995,1519.5591940966765,2130.1873968107975
80-84 years,1961.741000413998,2394.206220156851,2707.1084164572408,3176.3259108709176
