Year,black_Female,white_Female,black_Male,white_Male
2000,391.884672482414,224.722395113614,587.438987549623,390.002481634158
2001,378.876014848343,217.112202982356,573.492316671126,371.197556571539
2002,369.705803896006,211.569382456313,557.229982535618,361.729686695012
2003,356.763181543603,202.813368462384,551.000385905034,347.561459275413
2004,337.760967798372,191.350669641247,516.400088485294,325.641397074047
2005,324.329948150044,184.776946904563,504.755138842563,314.00416760449
2006,303.733334033413,174.65449554475,487.381675101319,298.958224869231
2007,289.035714602271,166.397948870745,465.901774320449,285.421574248584
2008,282.720807384876,162.695183372983,448.162666660935,278.750902750879
2009,268.157929443368,154.660951718385,427.966665370936,267.974840294761
2010,259.47278600116,150.755951262141,417.591214285256,262.558521110926
2011,247.788366335483,147.869469987757,401.354098530069,257.3703333922
2012,241.323489290268,144.880750504703,399.334023195855,251.565438384586
2013,243.527301339337,142.998111459787,400.041134618618,252.4641828373
2014,239.676255560189,142.469810121717,395.67358258256,250.924382829521
2015,239.226802696305,145.267862561712,398.815728025978,251.576337245926
2016,242.706867453536,142.472152700945,399.618472872429,251.03732547512
2017,237.565617405188,142.094430551502,398.207772382193,249.831299938653
2018,236.843470987244,139.643331135834,405.125435413602,247.621851798377
2019,233.393311002693,138.211712283503,397.832522353402,245.655694561296
2020,258.010967108778,143.327455560812,447.178228948672,257.890098494093
2021,256.528319488118,150.719245098126,435.217850718503,263.169682367633
2022,245.780148283049,148.693752676973,419.691086417958,257.905581068488
