Gender,Year,excess_deaths_black
Female,2000,17147.803676525094
Female,2001,17087.0564871007
Female,2002,17042.49588069307
Female,2003,17058.28901363677
Female,2004,16538.326729724326
Female,2005,16151.681924102786
Female,2006,15349.252950577718
Female,2007,14957.88407983645
Female,2008,15043.906136816047
Female,2009,14571.98257981212
Female,2010,14231.54656328172
Female,2011,13495.631922739998
Female,2012,13447.753947161418
Female,2013,14333.891968910884
Female,2014,14290.9930949357
Female,2015,14229.126119441567
Female,2016,15498.517521668971
Female,2017,15306.215586122817
Female,2018,15934.080448557552
Female,2019,15969.031825751217
Female,2020,19601.699361373983
Female,2021,18453.990994260388
Female,2022,17144.669770574983
Male,2000,15444.321178469741
Male,2001,16256.538190830446
Male,2002,16221.103029942245
Male,2003,17208.163270262492
Male,2004,16716.087687834122
Male,2005,17164.8031071664
Male,2006,17305.154491472786
Male,2007,17103.484592489232
Male,2008,16367.817094025817
Male,2009,16236.819046349496
Male,2010,15889.430572447576
Male,2011,15517.986000257517
Male,2012,16228.278089233789
Male,2013,16646.83231896879
Male,2014,16797.92636507453
Male,2015,17607.58636954688
Male,2016,18279.34575433291
Male,2017,19026.044372286247
Male,2018,20372.550801349505
Male,2019,20366.650941849348
Male,2020,25854.23921652272
Male,2021,24616.276238223327
Male,2022,23273.11727737363
