Year,Gender,Hypothetical_Excess_Deaths
2000,Female,17147.803676525094
2000,Male,15444.321178469741
2001,Female,17087.0564871007
2001,Male,16256.538190830446
2002,Female,17042.49588069307
2002,Male,16221.103029942245
2003,Female,17058.28901363677
2003,Male,17208.163270262492
2004,Female,16538.326729724326
2004,Male,16716.087687834122
2005,Female,16151.681924102786
2005,Male,17164.8031071664
2006,Female,15349.252950577718
2006,Male,17305.154491472786
2007,Female,14957.88407983645
2007,Male,17103.484592489232
2008,Female,15043.906136816047
2008,Male,16367.817094025817
2009,Female,14571.98257981212
2009,Male,16236.819046349496
2010,Female,14231.54656328172
2010,Male,15889.430572447576
2011,Female,13495.631922739998
2011,Male,15517.986000257517
2012,Female,13447.753947161418
2012,Male,16228.278089233789
2013,Female,14333.891968910884
2013,Male,16646.83231896879
2014,Female,14290.9930949357
2014,Male,16797.92636507453
2015,Female,14229.126119441567
2015,Male,17607.58636954688
2016,Female,15498.517521668971
2016,Male,18279.34575433291
2017,Female,15306.215586122817
2017,Male,19026.044372286247
2018,Female,15934.080448557552
2018,Male,20372.550801349505
2019,Female,15969.031825751217
2019,Male,20366.650941849348
2020,Female,19601.699361373983
2020,Male,25854.23921652272
2021,Female,18452.557578819567
2021,Male,24616.276238223327
2022,Female,17143.952392127416
2022,Male,23272.39035761796
