Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,390.11748043514075,152.5865812878389
Female,25-29 years,695.8277402789315,259.033940259281
Female,30-34 years,1204.4950110393659,430.95785052050337
Female,35-39 years,1874.8723486846065,701.5763762212537
Female,40-44 years,3020.269003432674,1122.0824398146688
Female,45-49 years,4426.762667178107,1660.5509128523822
Female,50-54 years,6029.43663411446,2324.488485775353
Female,55-59 years,7742.853693294334,3193.1704109185225
Female,60-64 years,9990.211457684036,4444.352532908044
Female,65-69 years,12163.535252350586,6055.556322521991
Female,70-74 years,15068.575818994432,8653.45182658525
Female,75-79 years,18955.850225665803,12614.474254819168
Female,80-84 years,23460.916430469522,18705.036099565223
Male,20-24 years,572.8420042831196,245.6679446284072
Male,25-29 years,1033.2816476367998,421.5503847317136
Male,30-34 years,1825.2951731424566,741.0920569299011
Male,35-39 years,3028.3202771951414,1271.1223346203726
Male,40-44 years,4732.2994028278445,2212.78377251724
Male,45-49 years,7076.443935641478,3508.6356405703514
Male,50-54 years,10015.783050215556,5114.7717750281245
Male,55-59 years,13217.070817767551,6799.469261997849
Male,60-64 years,16449.770429900233,8650.898156449499
Male,65-69 years,18660.06201989838,10411.631746007633
Male,70-74 years,21002.912455783215,12952.261230418273
Male,75-79 years,23694.554659603065,16717.39623966068
Male,80-84 years,26413.204619185006,22192.216256924625
