Gender,Race,Year,yrs_lost
Female,Black,2000,10792.537726559305
Female,Black,2001,10600.355292777294
Female,Black,2002,10351.873831580317
Female,Black,2003,10096.860397866692
Female,Black,2004,9739.815727930683
Female,Black,2005,9012.761810625989
Female,Black,2006,8571.263010514376
Female,Black,2007,8191.044111229805
Female,Black,2008,8083.70881013172
Female,Black,2009,7818.347878733843
Female,Black,2010,7540.8334137803195
Female,Black,2011,7206.179051760672
Female,Black,2012,7040.827718540847
Female,Black,2013,7109.712234780297
Female,Black,2014,7041.480782792121
Female,Black,2015,6985.1063076528
Female,Black,2016,7149.676625354369
Female,Black,2017,6972.69336167255
Female,Black,2018,6973.6442834918735
Female,Black,2019,6916.17523990414
Female,Black,2020,7360.650390438767
Female,Black,2021,7248.62736973541
Female,Black,2022,7045.022825795358
Female,Black,2023,6589.684585210894
Female,White,2000,6099.472607416704
Female,White,2001,5991.47987649784
Female,White,2002,5846.332613248423
Female,White,2003,5662.454403367584
Female,White,2004,5464.758173272961
Female,White,2005,5054.561322920076
Female,White,2006,4854.932836787655
Female,White,2007,4644.509928348198
Female,White,2008,4584.848670377485
Female,White,2009,4452.806158374114
Female,White,2010,4323.288900865365
Female,White,2011,4244.400874599072
Female,White,2012,4174.149484772009
Female,White,2013,4122.750402089458
Female,White,2014,4139.316778365779
Female,White,2015,4193.904299903688
Female,White,2016,4156.314998868769
Female,White,2017,4126.222594544931
Female,White,2018,4067.3344389658555
Female,White,2019,4055.3900895202864
Female,White,2020,4043.325594763654
Female,White,2021,4210.7980551889195
Female,White,2022,4215.420033550971
Female,White,2023,3977.945965690534
Male,Black,2000,13878.688955115127
Male,Black,2001,13710.31389186557
Male,Black,2002,13408.792247009274
Male,Black,2003,13410.576515124321
Male,Black,2004,12854.378601982018
Male,Black,2005,12240.089654899602
Male,Black,2006,12013.487580432142
Male,Black,2007,11578.060583486944
Male,Black,2008,11225.046365511982
Male,Black,2009,10905.527257320584
Male,Black,2010,10648.923399239226
Male,Black,2011,10297.110437490492
Male,Black,2012,10283.532735342927
Male,Black,2013,10308.717726377276
Male,Black,2014,10245.524549858295
Male,Black,2015,10298.315511511719
Male,Black,2016,10403.053112898888
Male,Black,2017,10335.126545761848
Male,Black,2018,10551.62516470162
Male,Black,2019,10392.069280619735
Male,Black,2020,11334.87136213639
Male,Black,2021,10706.371170116423
Male,Black,2022,10606.129222762147
Male,Black,2023,10050.167277157241
Male,White,2000,9053.497158494689
Male,White,2001,8718.56890349741
Male,White,2002,8543.61058616761
Male,White,2003,8325.10165144641
Male,White,2004,7982.601173183989
Male,White,2005,7464.8170433757
Male,White,2006,7240.24442886781
Male,White,2007,6970.335131450332
Male,White,2008,6871.8118255539175
Male,White,2009,6722.313875691083
Male,White,2010,6605.112032358407
Male,White,2011,6513.594061655271
Male,White,2012,6400.510030941939
Male,White,2013,6420.676220045719
Male,White,2014,6421.304205214348
Male,White,2015,6425.180449407068
Male,White,2016,6467.46206931684
Male,White,2017,6404.123208379666
Male,White,2018,6388.689379001094
Male,White,2019,6346.666279273225
Male,White,2020,6471.122715216985
Male,White,2021,6386.027331163633
Male,White,2022,6436.966970537134
Male,White,2023,6086.565672363849
