Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,237.53089914730185,86934.93853462441,327.3246273672205,119889.83609530778
25-29 years,436.7938000196505,153301.06572734474,612.043208000623,204419.212124934
30-34 years,773.5371605188625,260112.94727660617,1084.6144226157899,335224.45859548607
35-39 years,1173.2959724633529,387488.50400024606,1758.0667614006702,521620.2189163431
40-44 years,1898.186563618005,625755.9737617896,2520.923058086065,739563.3235968618
45-49 years,2766.211754325725,892530.8364587949,3569.968997127722,1018816.2091400245
50-54 years,3704.9481483391064,1133841.8059049584,4902.448105954592,1312622.783525816
55-59 years,4549.683282375812,1235299.2489716918,6419.572060434971,1485091.2822955085
60-64 years,5545.858924775992,1241141.5430564713,7798.872273450734,1425377.0347228295
65-69 years,6107.978929828595,1067878.1126324018,8248.430273890748,1108494.9142214914
70-74 years,6412.194619468659,843281.3723808628,8050.651225364942,753637.4820023507
75-79 years,6337.882903399581,607472.8301155817,6977.158419942385,426272.91247400583
80-84 years,4752.59594082335,315970.7330624303,4217.384033071696,153634.99859308815
