age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
30-34 years,1.5459335645015733,4.366042616687843,2.3727825807814424,6.365952980206738
35-39 years,2.5484299332005858,6.66319790410138,3.9609526168159337,10.266312930958158
40-44 years,4.000851346074464,10.396465957681004,6.812200842115124,16.576557112516763
45-49 years,6.593004994025767,17.278285907960324,11.6817870486437,26.740441332280085
50-54 years,10.886571578167286,30.028052080039586,19.325436407368006,43.47873409546891
55-59 years,17.761004582500636,48.17824139941205,31.061481016220377,70.02774240842034
60-64 years,27.947437232904157,74.12870038245254,47.66219199756564,105.39015171570428
65-69 years,42.279667508108744,110.17552881558083,69.11327432010113,150.6732232488436
70-74 years,64.53559606817952,161.5210075201296,99.09460558463333,206.71401911306754
75-79 years,96.45037964711918,231.18031389637235,141.9499073524525,280.1896956115277
80-84 years,143.54656226325068,320.23678325205253,205.7505852106624,369.134164186957
