age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
30-34 years,987.6098607722536,2.82010905218627,1284.021392089849,3.9931703994252956
35-39 years,1420.9515066654203,4.114767970900794,1954.933773681645,6.305360314142224
40-44 years,2199.2398503071145,6.39561461160654,2986.463712272041,9.764356270401638
45-49 years,3575.1005216898698,10.685280913934557,4452.197302469796,15.058654283636384
50-54 years,6036.045174995243,19.1414805018723,6657.349288473564,24.153297688100903
55-59 years,8472.690289769122,30.417236816911416,9238.022666221445,38.96626139219996
60-64 years,10605.7413633548,46.18126314954838,10815.965951631784,57.727959718138635
65-69 years,12215.341984783707,67.89586130747209,11267.774461138259,81.55994892874249
70-74 years,13176.891891587533,96.98541145195007,10385.323986618258,107.61941352843421
75-79 years,13376.231733446846,134.72993424925318,8731.826369522118,138.23978825907523
80-84 years,12149.505833348016,176.69022098880185,6136.3866005643085,163.3835789762946
