Gender,age_cat,black_years_lost,white_years_lost
Female,30-34 years,222.52073367764714,79.49159848279076
Female,35-39 years,310.2077862991198,119.64983999347938
Female,40-44 years,436.9624370559434,170.37645062925637
Female,45-49 years,647.7435982924952,249.95556355907118
Female,50-54 years,999.8047746847909,359.38785825952726
Female,55-59 years,1411.968800655463,506.5608873835138
Female,60-64 years,1861.5711254434345,681.8332425333559
Female,65-69 years,2307.0383413744157,860.8245618041944
Female,70-74 years,2700.587866146803,1051.2597678916572
Female,75-79 years,2973.010794543973,1214.4340350321456
Female,80-84 years,3081.033892742819,1353.8750806537166
Male,30-34 years,294.1777204563565,111.46675372470636
Male,35-39 years,432.6917242850936,169.45825305796703
Male,40-44 years,630.4507738055831,261.059362405432
Male,45-49 years,898.9922094257927,396.90616664387005
Male,50-54 years,1270.6516032017182,566.8877237804099
Male,55-59 years,1764.2827757239181,773.5354345487833
Male,60-64 years,2231.2923205473803,997.4666709001793
Male,65-69 years,2620.4771614914544,1195.0272170850571
Male,70-74 years,2881.1536930546204,1373.348498655775
Male,75-79 years,3022.356782064469,1523.4622045320464
Male,80-84 years,2973.0205461069727,1653.7724492081702
