Gender,Race,Year,yrs_lost
Female,Black,1999,1953.2004291616638
Female,Black,2000,1929.2069584112553
Female,Black,2001,1885.6547068011444
Female,Black,2002,1896.7601686569599
Female,Black,2003,1882.7880973550252
Female,Black,2004,1812.657511789592
Female,Black,2005,1692.5851888841771
Female,Black,2006,1649.436154197205
Female,Black,2007,1592.4138491299823
Female,Black,2008,1478.7625497980894
Female,Black,2009,1415.2796487927235
Female,Black,2010,1388.3336655021676
Female,Black,2011,1434.7538380019946
Female,Black,2012,1374.248439299419
Female,Black,2013,1380.8485015540093
Female,Black,2014,1346.9888495541293
Female,Black,2015,1303.7403885550216
Female,Black,2016,1309.7437189421426
Female,Black,2017,1298.6793767869835
Female,Black,2018,1311.6818271849336
Female,Black,2019,1310.5962588113644
Female,Black,2020,1523.8539752646966
Female,Black,2021,1474.078292561115
Female,Black,2022,1340.8715706410876
Female,White,1999,682.4027179955547
Female,White,2000,691.9354072550622
Female,White,2001,703.1871188021809
Female,White,2002,696.5562756798278
Female,White,2003,685.9517479178481
Female,White,2004,678.7259602782118
Female,White,2005,653.3114090887967
Female,White,2006,620.5192303658704
Female,White,2007,597.5970310198403
Female,White,2008,584.3751552829804
Female,White,2009,556.6072486355027
Female,White,2010,541.229546826417
Female,White,2011,572.8242404089882
Female,White,2012,550.0780650286151
Female,White,2013,554.4606883038792
Female,White,2014,550.9603503128849
Female,White,2015,561.3958743410467
Female,White,2016,551.1112855197572
Female,White,2017,555.9030723605699
Female,White,2018,545.8977381455138
Female,White,2019,549.7148886168189
Female,White,2020,598.4526591451762
Female,White,2021,621.6042761467094
Female,White,2022,599.1592188260391
Male,Black,1999,1691.6254675560078
Male,Black,2000,1692.971049614602
Male,Black,2001,1752.874907216357
Male,Black,2002,1774.7295883187664
Male,Black,2003,1817.8583855605
Male,Black,2004,1834.1746325587255
Male,Black,2005,1791.896010323503
Male,Black,2006,1771.1189333025166
Male,Black,2007,1664.7329451950181
Male,Black,2008,1616.774483363651
Male,Black,2009,1586.7793170127527
Male,Black,2010,1599.1510151025198
Male,Black,2011,1642.5693917783053
Male,Black,2012,1657.9189896999824
Male,Black,2013,1632.87125744643
Male,Black,2014,1607.2771402821506
Male,Black,2015,1660.9298566980144
Male,Black,2016,1664.137127330586
Male,Black,2017,1719.4261727223522
Male,Black,2018,1746.141052775103
Male,Black,2019,1742.7080953575407
Male,Black,2020,2077.9695220467997
Male,Black,2021,1928.6437981970896
Male,Black,2022,1821.914991806237
Male,White,1999,778.3358127656287
Male,White,2000,786.83873365125
Male,White,2001,806.473745107614
Male,White,2002,823.3873438760195
Male,White,2003,847.4970566553467
Male,White,2004,844.9920403550823
Male,White,2005,816.4262257950817
Male,White,2006,808.11653289121
Male,White,2007,785.6913626890268
Male,White,2008,761.8388349614709
Male,White,2009,755.0893063704739
Male,White,2010,743.115922026912
Male,White,2011,788.5217894439779
Male,White,2012,772.4845570209297
Male,White,2013,784.6681912052368
Male,White,2014,805.9340854059471
Male,White,2015,820.4255920417485
Male,White,2016,820.1695968638162
Male,White,2017,836.9590688313252
Male,White,2018,851.5356401489231
Male,White,2019,873.2642731856473
Male,White,2020,929.1314831899259
Male,White,2021,939.7972281755345
Male,White,2022,904.5217254343736
