Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
30-34 years,143.0291351948564,50089.19218448644,182.71096673165013,58751.50979948672
35-39 years,190.55794630564043,65805.31461918399,263.23347122712653,81613.73460469268
40-44 years,266.585986426687,91670.08340668761,369.3914114001511,112979.70037364551
45-49 years,397.78803473342407,133092.63667957156,502.08604278192263,148445.27825507705
50-54 years,640.4169164252637,201948.09058766052,703.7638794213083,193977.7343210158
55-59 years,905.4079132719492,252200.4507258299,990.7473411751348,234883.8730550278
60-64 years,1179.7378829100785,270932.27879407624,1233.8256496472009,231170.75819052325
65-69 years,1446.2137795702213,260192.5295645771,1425.4499444063972,196930.58529556144
70-74 years,1649.328098255146,224085.434284444,1507.8051943988453,145503.90992792996
75-79 years,1758.5767595118275,174594.68370826897,1498.8945775324225,94676.7017083601
80-84 years,1727.1588120891022,118762.23791652227,1319.2480968988025,49548.53110302073
