age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,82.61121398384091,0.2162412344113221,88.57981935004682,0.23155990538608923
25-29 years,154.46497562281704,0.4203378160379945,212.53527147701928,0.6063140148207029
30-34 years,251.09116854480936,0.7085040620912061,415.2773821067013,1.2704457754786858
35-39 years,400.2257662651096,1.1567177892179386,687.8800019045111,2.2078240765433077
40-44 years,724.075176950523,2.100544288947686,1197.2936555571741,3.8982841518661235
45-49 years,1102.1926385502823,3.2786701377320817,1810.50305639549,6.08738687632041
50-54 years,1894.8780579407326,5.923404414094723,2819.7848011945425,10.068283889268356
55-59 years,2778.176521707147,9.740070314447015,3744.2937171546764,15.388495187566795
60-64 years,3426.1821743763094,14.431981653302879,4743.097699385833,24.40811011523619
65-69 years,3624.508285740274,19.42435073132165,4646.69143646229,32.3162897327403
70-74 years,3567.3507445211053,25.383484501096753,3826.910949863058,38.19669620197088
75-79 years,2980.289359730309,29.27132343656278,2905.0095484863286,44.591389921892855
80-84 years,1449.214793455365,20.650754217285936,853.527850941824,22.092872218888687
