Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
2000,5.7550457592932,6.224762978317601,1.4932860101468368,1.3935950049454888
2001,5.627018282481,7.506800748468001,1.4794339097011193,1.4778059614510421
2002,5.696156074949901,7.8854830067376,1.49905008558883,1.5223954317277881
2003,6.059613086070399,7.3023396655082,1.5337505432576317,1.4843760778702229
2004,5.098024133426399,7.540250583323102,1.4521644213333578,1.5128539225921935
2005,6.2621211087011,9.0984952247282,1.5526497364137313,1.6272214861560141
2006,5.170501500676101,7.799317763338198,1.4565618277143733,1.5247955437002723
2007,5.540612069288901,8.509876531154399,1.5389332878372206,1.6181108204469434
2008,5.59592272371213,9.239190463489102,1.5772347165460372,1.6922160374897637
2009,4.996178261830911,7.6698327884599,1.525191652281803,1.575577851091432
2010,4.930748591694719,8.1203448028031,1.520036548429831,1.6043881205361799
2011,4.880190724565821,7.4673419830432,1.5159580916340196,1.5745302225285136
2012,5.01261803738654,8.3294080979511,1.5410370115776488,1.6215141251314256
2013,6.035336713948711,9.256655485400302,1.6119055745718367,1.6523240287127585
2014,6.199592331179199,9.3077151889638,1.6087450907193248,1.6255993184451003
2015,6.170859744305801,10.789735526915301,1.566835584816101,1.6704493512414156
2016,7.9645401461097,10.002828773069503,1.7264620839020908,1.5990092310934938
2017,7.739496442413802,11.653273837224901,1.6963961027238712,1.7013561291374675
2018,7.862387447092599,12.495735052553702,1.700190078715273,1.7323146033534613
2019,8.176149909708899,13.335176845021799,1.7143612178990222,1.7713347344876516
2020,8.930652511442801,15.130399793656203,1.7862060576517351,1.8594773657341004
2021,7.797690680177801,12.824659918152399,1.6329941497078757,1.7139199617724168
2022,7.825775006942198,13.920289409560503,1.6526602052811892,1.7804729855308732
