Year,Gender,Hypothetical_Excess_Deaths
2000,Female,591.1591512178867
2000,Male,483.8871669246083
2001,Female,613.0777529176512
2001,Male,586.2651520209681
2002,Female,617.0351811214732
2002,Male,648.0588541443578
2003,Female,674.5995017947077
2003,Male,642.7191241404738
2004,Female,588.4967697128561
2004,Male,675.8445779757933
2005,Female,722.584037648698
2005,Male,814.4875309026594
2006,Female,638.769784163969
2006,Male,746.8740421061275
2007,Female,687.3568107439127
2007,Male,820.134680413754
2008,Female,707.0784617996028
2008,Male,897.0159247143432
2009,Female,658.2354783167414
2009,Male,826.9448101275528
2010,Female,654.15581332201
2010,Male,843.1968613042669
2011,Female,674.088333254479
2011,Male,805.5850127594158
2012,Female,717.6869646693511
2012,Male,938.3165834659795
2013,Female,868.0475180150232
2013,Male,1076.1266740079773
2014,Female,936.1833669502848
2014,Male,1103.9511341454097
2015,Female,961.1218897105948
2015,Male,1331.194943882242
2016,Female,1245.6932215635015
2016,Male,1317.0711727748742
2017,Female,1274.5119544248741
2017,Male,1507.0872519937323
2018,Female,1319.9765231784334
2018,Male,1649.6499783820168
2019,Female,1400.195528032979
2019,Male,1839.1519720848246
2020,Female,1589.28990138331
2020,Male,2155.971196386092
2021,Female,1435.69944429221
2021,Male,1886.1792973628778
2022,Female,1428.6876997977572
2022,Male,2037.4192531053634
2023,Female,1341.3346267556803
2023,Male,1992.101856744371
