Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,18.779672450685403,5.358821114718008
Female,25-29 years,28.591354393479136,5.310711174852658
Female,30-34 years,45.75545056875922,9.991933721162601
Female,35-39 years,70.58500035997875,16.97714627879891
Female,40-44 years,115.59134616421763,27.792300650595596
Female,45-49 years,169.2641546365695,47.60564206695217
Female,50-54 years,273.6658846664569,81.5231037938302
Female,55-59 years,396.8768746707611,127.87289922412492
Female,60-64 years,544.9406103816724,214.33757956252137
Female,65-69 years,704.6493085708831,337.04755617365277
Female,70-74 years,970.0080157235785,569.955588749069
Female,75-79 years,1318.2014646497564,951.1723932164624
Female,80-84 years,1824.614299671002,1633.058776853389
Male,20-24 years,18.43050988868328,5.1019673864970745
Male,25-29 years,38.81329319729609,8.57436156344704
Male,30-34 years,73.6525662503908,16.2288683597099
Male,35-39 years,118.93529612595471,27.092971864657695
Male,40-44 years,194.17028433384928,46.79264037756511
Male,45-49 years,280.29903710639917,78.0999857661955
Male,50-54 years,417.1012953284927,129.05243913153285
Male,55-59 years,572.894185423373,205.42637220174606
Male,60-64 years,793.1768337541146,313.6435146688439
Male,65-69 years,988.5059229875865,467.95089886874786
Male,70-74 years,1228.1518537515158,725.5822967092212
Male,75-79 years,1577.899783363663,1118.2926226991797
Male,80-84 years,1958.0495242280401,1795.9486979239655
