Gender,Race,Year,yrs_lost
Female,Black,2000,482.96157009123897
Female,Black,2001,492.6295164143873
Female,Black,2002,481.8753778683575
Female,Black,2003,495.48908796901964
Female,Black,2004,475.67517324450375
Female,Black,2005,490.06582037026516
Female,Black,2006,468.50875379982085
Female,Black,2007,451.62857994051734
Female,Black,2008,440.62147688578074
Female,Black,2009,425.1788140277336
Female,Black,2010,421.6313268033483
Female,Black,2011,421.3976125822901
Female,Black,2012,419.876778442808
Female,Black,2013,466.64151022698456
Female,Black,2014,485.02839130915817
Female,Black,2015,501.7307023792812
Female,Black,2016,562.3391119516499
Female,Black,2017,557.0248612333212
Female,Black,2018,566.012786318136
Female,Black,2019,585.3226118013579
Female,Black,2020,583.2256746562007
Female,Black,2021,577.7207726775138
Female,Black,2022,594.1219921963207
Female,Black,2023,563.6988764824682
Female,White,2000,345.0765710083202
Female,White,2001,327.0129855613444
Female,White,2002,318.4170799401183
Female,White,2003,319.9778411950272
Female,White,2004,324.95405475080247
Female,White,2005,310.89783135288235
Female,White,2006,315.72291783906
Female,White,2007,287.71933933530914
Female,White,2008,274.36361622333874
Female,White,2009,275.06955374521846
Female,White,2010,273.099135235481
Female,White,2011,272.6452634305602
Female,White,2012,267.2879348581607
Female,White,2013,285.6343646168378
Female,White,2014,297.6109966476694
Female,White,2015,314.7384809879239
Female,White,2016,321.3935055286098
Female,White,2017,324.2253299657189
Female,White,2018,327.5045797931976
Female,White,2019,337.26739381442815
Female,White,2020,321.0808592342487
Female,White,2021,347.64976971928206
Female,White,2022,356.33998590375427
Female,White,2023,348.97097646201024
Male,Black,2000,517.865990683847
Male,Black,2001,553.2984512176483
Male,Black,2002,551.1441412411407
Male,Black,2003,545.8531590302182
Male,Black,2004,553.944464651561
Male,Black,2005,567.8440344348511
Male,Black,2006,555.2964256048467
Male,Black,2007,550.3825517210767
Male,Black,2008,566.2181553945061
Male,Black,2009,536.5658625417013
Male,Black,2010,548.8513962044985
Male,Black,2011,520.7338710469587
Male,Black,2012,557.681108454222
Male,Black,2013,605.5604884099288
Male,Black,2014,626.5954467066224
Male,Black,2015,694.5895821142533
Male,Black,2016,697.8648068719436
Male,Black,2017,733.5958844139144
Male,Black,2018,771.1327377329694
Male,Black,2019,803.557808080686
Male,Black,2020,834.2087463801129
Male,Black,2021,760.7826438310408
Male,Black,2022,807.1309541175144
Male,Black,2023,796.7788330038093
Male,White,2000,364.30754373265444
Male,White,2001,366.9000955502023
Male,White,2002,353.8124366957416
Male,White,2003,358.8303524525636
Male,White,2004,358.47824482020917
Male,White,2005,339.87763032001163
Male,White,2006,355.59999660231324
Male,White,2007,332.4660555484982
Male,White,2008,325.17654434665536
Male,White,2009,331.31348662983015
Male,White,2010,335.1765419371937
Male,White,2011,324.3836180366954
Male,White,2012,337.200934551848
Male,White,2013,357.055136516275
Male,White,2014,377.8746102046351
Male,White,2015,407.2173507981041
Male,White,2016,426.65285236160776
Male,White,2017,422.07635297417147
Male,White,2018,436.9708264063758
Male,White,2019,444.165704223465
Male,White,2020,439.89582163417106
Male,White,2021,435.2018173308012
Male,White,2022,445.58335060003407
Male,White,2023,446.72384761924144
