Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,13.901930479252215,5088.026341267446,13.625488743746462,4990.6346043848425
25-29 years,22.12734021969286,7766.009584471776,29.69410075254371,9917.673460379641
30-34 years,33.571930926551296,11289.042524103743,55.274877816267924,17083.943015622135
35-39 years,52.92045487631809,17477.31891381526,90.82284540117676,26947.231778059908
40-44 years,85.37138713118102,28143.522090812552,143.164552138403,42000.1918190709
45-49 years,118.98773070462518,38391.93389589933,197.65066065289716,56406.56739103937
50-54 years,190.52033749538265,58305.78860441718,284.42769410926724,76155.06854627655
55-59 years,265.8932752660007,72193.54466168373,364.492661812968,84321.02162312149
60-64 years,329.00872401002647,73630.86600933305,471.67227073441416,86206.15892237563
65-69 years,364.08289072832594,63653.813259572635,515.8567550379136,69325.2619515206
70-74 years,396.64813650090616,52164.04129176492,491.9819956733588,46055.41365915452
75-79 years,370.0163896120756,35465.29761006316,449.2265402105654,27445.715595169197
80-84 years,193.09473247228925,12837.675436635835,155.19508451134197,5653.5986297619875
