Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
2000,136.51242395161682,151.51503766291887,16502.380816348614,15614.695842480067
2001,159.5592315777523,186.82546059251422,19681.71418591617,19682.00062101938
2002,164.48102067856416,196.64299083526612,20603.252863632235,21065.307635321275
2003,173.72086259884628,188.34666708704384,22072.425581092226,20474.081302230115
2004,148.06546744316904,193.43986795675505,19088.07739167328,21403.103895709493
2005,179.48297022246913,226.6036519160408,23478.05426052995,25495.75924845918
2006,152.7021724297539,201.11460851718306,20278.37970300196,23027.345137057706
2007,163.55681992767416,217.5702800711773,22043.05474108983,25322.46967459535
2008,165.01311608763166,239.06030711389036,22576.53349851507,28299.062679990664
2009,150.51679540589862,201.9956836872318,20917.132416731427,24332.42833635966
2010,149.13221137644473,212.50549486095662,20987.237414050487,25968.122595745084
2011,146.98122987687708,198.93979800302645,21116.027524203273,24910.79190199549
2012,153.03576942515997,220.73387360109558,22357.997939611356,28223.136823556677
2013,182.42080818028052,247.0141723632674,27072.375294548187,32192.826003634058
2014,187.01148424393193,248.02227602260103,28244.942902110623,32995.68565445366
2015,185.44290270129335,287.6141464365645,28425.498511539052,38931.39909110702
2016,241.67963703434373,271.77392768122087,37467.60621341616,37286.32295954555
2017,234.3043901174276,312.6690092225397,36870.78316595123,43599.992416673
2018,239.29240282268609,333.12500868938633,38037.06368589208,47003.49900106095
2019,249.2663251023173,359.3201370970416,40056.82674364803,51305.39282695037
2020,262.08608736587206,394.3129247459418,42580.977225263436,56990.83169625122
2021,230.0710029582317,325.5808265002396,37626.5963659093,47913.724658149025
2022,228.77598670970264,350.21820132116625,37726.95838768551,52125.755635147674
