age_cat,Female_unadj_excess_deaths_number,Female_unadj_excess_deaths_rate,Male_unadj_excess_deaths_number,Male_unadj_excess_deaths_rate
20-24 years,170.37620886019158,0.445972888444123,348.47827829941366,0.9109704416221169
25-29 years,575.2010995559251,1.5652659963536477,880.6088998715436,2.512173691723868
30-34 years,1365.556883964277,3.8531924675504508,1995.331423009356,6.104258228999283
35-39 years,2262.3687437375247,6.538614932448864,3705.4219552513323,11.892946130002066
40-44 years,4104.307503726836,11.906608542150925,6024.504962784885,19.615264902021057
45-49 years,6235.723070759017,18.549279231401698,8906.278432984629,29.945247680356914
50-54 years,8715.447944987907,27.244562050741138,12239.22166462819,43.70119246367925
55-59 years,10061.85858000287,35.276091816882996,15057.3280245039,61.883398404645234
60-64 years,11271.049168333819,47.476627491496146,16802.026888445977,86.46368859436564
65-69 years,11429.598490011293,61.253144505591735,15440.497603363394,107.38384525654378
70-74 years,11426.041378898368,81.30199832343426,13132.628015913804,131.07778289831938
75-79 years,11494.769385335301,112.89746460635514,10736.371679577254,164.80143280763133
80-84 years,11106.598704243115,158.26476590436135,8313.776160206571,215.19531455383748
