Year,Female_excess_aamr,Male_excess_aamr,Female_mrr,Male_mrr
2000,32.6567424521281,42.7838168663201,4.358405066279285,4.384569936734319
2001,31.2098146718199,42.993436987136604,4.105288643120713,4.33135664728811
2002,32.41420366379,44.829933656674,4.125419247841376,4.253600013008928
2003,33.520118164928704,45.401490861755306,4.047290709504554,4.087231064928646
2004,31.838072707312797,45.7129096393472,3.9408977709684434,4.047400002875009
2005,30.4498636578437,45.7736937841765,3.772123397421716,4.017213577400892
2006,28.532558137681796,45.3633540003051,3.6827272316365467,3.9833050227026177
2007,27.4737484326942,42.900812154447905,3.595766033170882,3.8195259321546713
2008,29.415432859709504,43.196897779504404,3.694073990962696,3.6819752948212283
2009,28.0618033507419,42.850051156841204,3.5663157728289483,3.6212613505739575
2010,26.726142782981,42.029639954126004,3.4283658454112773,3.5668159634690877
2011,24.4464618402957,39.3840933951311,3.202231704400502,3.3345022607179953
2012,25.010352419473,41.4606715594453,3.2442101322104353,3.4213187438915074
2013,25.0561268993914,42.0209341334169,3.119231430984336,3.3062225732613486
2014,24.5407080861982,40.119314528816204,3.0472309118995686,3.1160056390031543
2015,24.7467758263344,40.2410763004377,2.935065214911448,3.0278793283774528
2016,24.223668861688402,42.73388300687161,2.821380053581326,3.050594811098221
2017,24.09414329138,39.5299253695826,2.7219789262617518,2.7884985355267333
2018,23.8123702991834,42.1299125808691,2.657455225881567,2.8243368429553524
2019,23.848145804270697,41.418345062083205,2.575223801199778,2.686360619727446
2020,30.104453516730995,52.7523421797639,2.727651561614814,2.889761725905961
2021,28.032108920797498,49.30752624823361,2.495655211007326,2.6525240869470443
2022,24.4043611046454,44.3717777275849,2.234120398181412,2.4396347607281177
