Year,Gender,Hypothetical_Excess_Deaths
2000,Female,3308.7697291997397
2000,Male,3217.2910598923263
2001,Female,3263.1204733310956
2001,Male,3371.883625358606
2002,Female,3460.7810363700646
2002,Male,3606.4235147108157
2003,Female,3692.1467964804283
2003,Male,3805.099167306983
2004,Female,3580.967136891086
2004,Male,3907.834532265171
2005,Female,3493.6995560123655
2005,Male,4007.492399248811
2006,Female,3370.8332870284876
2006,Male,4059.078398790497
2007,Female,3319.467242461384
2007,Male,4001.1792359117057
2008,Female,3651.5311578117826
2008,Male,4113.949052896137
2009,Female,3570.3560693999943
2009,Male,4256.393973809825
2010,Female,3466.628774900719
2010,Male,4241.753830250425
2011,Female,3283.8808677775273
2011,Male,4163.637709226555
2012,Female,3427.780768130295
2012,Male,4466.268320415934
2013,Female,3526.4200808014834
2013,Male,4590.7003867818075
2014,Female,3553.7033032301183
2014,Male,4565.09799154256
2015,Female,3678.3044302742137
2015,Male,4681.044574157786
2016,Female,3674.6023661768927
2016,Male,5060.111068175869
2017,Female,3784.063144962649
2017,Male,4978.02822006937
2018,Female,3847.2183580300016
2018,Male,5366.286159108235
2019,Female,3909.2694078384898
2019,Male,5410.939462107306
2020,Female,5106.371184657027
2020,Male,7078.8775236667425
2021,Female,4799.0649404947035
2021,Male,6864.09310495311
2022,Female,4260.57622881128
2022,Male,6249.238295822841
