Gender,age_cat,black_years_lost,white_years_lost
Female,20-24 years,33.19201022466687,5.422208511309906
Female,25-29 years,103.5791549180012,14.811435596378105
Female,30-34 years,230.53857404832908,33.085687683147306
Female,35-39 years,369.3299532259116,65.86682309550054
Female,40-44 years,615.9261421569545,119.1364039001786
Female,45-49 years,868.087587939455,179.26280587673128
Female,50-54 years,1137.2034812166467,246.1585524310841
Female,55-59 years,1323.903240103153,315.4885451477253
Female,60-64 years,1536.5131883313334,388.2868545397962
Female,65-69 years,1705.8679298563036,472.10156324222146
Female,70-74 years,1963.4756458830998,630.3938512684772
Female,75-79 years,2351.46763347233,900.3744395255939
Female,80-84 years,2916.7973625278432,1405.290390977751
Male,20-24 years,67.28137768161804,15.604950850800966
Male,25-29 years,167.51086673368013,38.35035879545342
Male,30-34 years,368.8411484965719,83.12259454105997
Male,35-39 years,652.0762552236993,150.7159685404292
Male,40-44 years,994.8510032257329,254.3977903807445
Male,45-49 years,1377.3604971962993,379.529805868456
Male,50-54 years,1779.8935597896746,510.8809609426048
Male,55-59 years,2154.5834924955466,618.2453711253758
Male,60-64 years,2483.8545322904324,693.8387445092312
Male,65-69 years,2528.135550445723,709.4968767085453
Male,70-74 years,2562.8555325540433,758.1798290286224
Male,75-79 years,2694.5921766609454,912.8706388999944
Male,80-84 years,2957.5518640725813,1232.5240432286994
