Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,27.760860255466326,10605.55528728408,51.69637298990096,19775.68341489382
25-29 years,88.74330923147903,32611.229763561118,129.20271234458528,45290.28337213033
30-34 years,197.35040263480155,69940.23868275575,285.7692514449581,93410.91836992367
35-39 years,303.19602622214836,104906.19497201534,501.47924051546136,156243.21909784275
40-44 years,496.3525686933573,171096.87993607455,740.6773864408922,227486.8380684438
45-49 years,688.0324178275408,231296.29824183183,997.8493721729747,296779.1229384646
50-54 years,889.9945514099538,284706.40011353424,1269.2309128905385,355468.5263880746
55-59 years,1007.0368563459347,287238.8042871011,1536.6188464127722,373886.6095843744
60-64 years,1146.489130586036,272178.881368734,1790.0157877812012,347844.2093552141
65-69 years,1231.2563716514721,229747.64936287902,1818.6386737371777,261498.23575545393
70-74 years,1329.604456794281,186860.29684611346,1804.6757035254209,180809.70077241643
75-79 years,1446.5550504657097,147282.4634837672,1780.4916780509918,115994.26110732496
80-84 years,1506.0008925689008,105687.1216181023,1722.7220717372352,66555.0071123298
