Year,excess_ypll_rate_Female,excess_ypll_rate_Male,excess_ypll_number_Female,excess_ypll_number_Male
2000,909.9702371339708,1034.4685983741472,110002.26169927287,106609.30275544639
2001,883.0561387160781,1049.6523540611738,108925.43389982037,110580.52911506784
2002,916.9863898415932,1102.8531816086718,114863.72339175174,118142.73902415177
2003,957.6833861878072,1127.099418447062,121680.2343463563,122520.48568672987
2004,927.0837183697827,1158.5179569882653,119516.36036670655,128183.91813629781
2005,860.4515801554077,1129.7889113530764,112555.12911563338,127115.45397383682
2006,814.3025080621228,1137.779334315643,108136.87316195016,130274.16364365978
2007,789.5172306028094,1088.8744993045846,106405.66098623858,126731.4243427923
2008,852.1291670540372,1102.45812929441,116585.4153971654,130504.8591278874
2009,830.2406454736558,1113.0640900735398,115377.51300307357,134079.8561192312
2010,786.1076440647582,1089.8357501177074,110628.19766912446,133177.67800216135
2011,723.0091519139396,1029.92169756242,103870.95797779424,128964.46734572975
2012,738.3410734780871,1084.479473150055,107869.08355844503,138662.05514231842
2013,739.937000522845,1098.1578406946312,109811.22368825343,143120.5503383738
2014,729.4988576343666,1052.786677781316,110178.54686486282,140057.6546523726
2015,730.5857899809239,1054.9288174762482,111987.38254817824,142794.97484639782
2016,719.4425781555874,1119.4745648721323,111535.21886358965,153587.54434965356
2017,715.4783732234783,1047.0116576627024,112589.64437597293,146000.07991764616
2018,711.1719664820614,1112.607996416149,113045.34979634848,156987.51965176337
2019,711.972553537506,1098.6542344531128,114413.21330339387,156870.938364321
2020,870.3903743982434,1352.8591909206962,141411.8280059692,195531.43105355816
2021,802.9741374019046,1232.3206330454077,131321.12857251603,181353.03647019312
2022,700.0955316121122,1106.506947919845,115451.25591371577,164690.21472407703
