age_cat,white_death_rate_Female,black_death_rate_Female,white_death_rate_Male,black_death_rate_Male
20-24 years,0.2858712624686265,0.8035962160931476,0.7828839809156529,1.5344992285939056
25-29 years,0.7840682597891024,1.978348755292083,2.1173159983405494,3.996729243388915
30-34 years,1.9091157283323454,4.449821602221897,5.656186129786175,10.080295750676566
35-39 years,4.626082080312202,9.618463195014169,13.69560022480448,21.831742930552977
40-44 years,10.31752349687863,20.48688346287859,31.90570396327189,45.491618465585816
45-49 years,19.123914420969715,38.239508363966586,62.347420686229654,86.27566062073556
50-54 years,33.51027742976928,67.31546133989028,109.33228126355995,153.52805309375557
55-59 years,55.743013474415555,108.89393874109422,169.61375349787525,245.1280471834091
60-64 years,92.22897158448475,170.84940206500315,252.00743220567895,370.84330933603593
65-69 years,145.8327436164915,256.0235580473784,355.1616103653305,515.7179428867101
70-74 years,248.8541678632427,393.5227318169443,530.6403286712543,722.859602765078
75-79 years,453.1873929683339,635.2733720364804,854.6587595230299,1038.0319558809174
80-84 years,865.6601850745868,1028.2807852621352,1457.3870515417736,1521.886501475528
