Year,Gender,Hypothetical_Excess_Deaths
2000,Female,7446.663927013843
2000,Male,5480.1012080154005
2001,Female,7308.117097784885
2001,Male,5886.191489839163
2002,Female,7194.425686612098
2002,Male,5645.122105473116
2003,Female,6784.5496123026305
2003,Male,6172.039912844633
2004,Female,6615.734871114103
2004,Male,5608.92660445615
2005,Female,6404.67279365115
2005,Male,5776.427777133689
2006,Female,6019.312838069958
2006,Male,5960.718443635035
2007,Female,5791.014511640486
2007,Male,5540.556826129049
2008,Female,5434.7474102179585
2008,Male,5156.579108438032
2009,Female,5334.270350872291
2009,Male,5145.264219191027
2010,Female,5105.4490183222515
2010,Male,4747.276210214303
2011,Female,4933.610412717543
2011,Male,4692.121133400313
2012,Female,4645.842445256062
2012,Male,4854.148467826843
2013,Female,4968.866207355868
2013,Male,4763.661902905684
2014,Female,4735.199742488606
2014,Male,4619.858994723717
2015,Female,4593.147336519035
2015,Male,4759.613717427337
2016,Female,5187.813724283471
2016,Male,5093.391997640469
2017,Female,4753.204066640861
2017,Male,5320.464519610601
2018,Female,4985.899318525016
2018,Male,5629.224418157008
2019,Female,4832.42044096965
2019,Male,5369.527051308305
2020,Female,6378.612963465129
2020,Male,7533.546370365342
2021,Female,5654.638537150517
2021,Male,7028.167777452038
2022,Female,4830.916489873537
2022,Male,6604.385828899893
