Gender,Race,Year,yrs_lost
Female,Black,2000,5317.26570364011
Female,Black,2001,5164.582502758065
Female,Black,2002,4954.1587335701
Female,Black,2003,4705.202479946293
Female,Black,2004,4497.381057241895
Female,Black,2005,4117.749489390132
Female,Black,2006,3877.794277753809
Female,Black,2007,3642.9897881023694
Female,Black,2008,3508.136269682741
Female,Black,2009,3375.3073062031735
Female,Black,2010,3188.0417762739467
Female,Black,2011,3039.8528718879456
Female,Black,2012,2900.2973979301005
Female,Black,2013,2872.263267105278
Female,Black,2014,2771.644897934776
Female,Black,2015,2684.5100073882895
Female,Black,2016,2738.127465005596
Female,Black,2017,2580.0900154786245
Female,Black,2018,2565.616012558856
Female,Black,2019,2478.0712148680386
Female,Black,2020,2675.975449996724
Female,Black,2021,2574.4868288686544
Female,Black,2022,2481.684999082344
Female,Black,2023,2259.2322155310294
Female,White,2000,3260.6077164594803
Female,White,2001,3168.7676029996496
Female,White,2002,3032.483230059543
Female,White,2003,2918.913271919338
Female,White,2004,2765.1895425787625
Female,White,2005,2536.3173046875468
Female,White,2006,2406.8913189754726
Female,White,2007,2252.3845758196253
Female,White,2008,2237.5174737865796
Female,White,2009,2126.3518515976
Female,White,2010,2019.4082070527097
Female,White,2011,1947.7574339936093
Female,White,2012,1903.505800635779
Female,White,2013,1832.9925613293092
Female,White,2014,1803.9914824015214
Female,White,2015,1789.7936565878906
Female,White,2016,1742.869283660297
Female,White,2017,1700.4629763444414
Female,White,2018,1668.4115139513658
Female,White,2019,1622.309220409114
Female,White,2020,1608.8629159402578
Female,White,2021,1648.997436428406
Female,White,2022,1672.8212813475147
Female,White,2023,1527.11003791365
Male,Black,2000,7539.17450229232
Male,Black,2001,7396.857953566336
Male,Black,2002,7133.306154805975
Male,Black,2003,7084.89247239652
Male,Black,2004,6601.825943741192
Male,Black,2005,6230.290902719898
Male,Black,2006,6132.774525359595
Male,Black,2007,5729.944688360085
Male,Black,2008,5545.763286959067
Male,Black,2009,5340.343155277452
Male,Black,2010,5127.590149983894
Male,Black,2011,4954.920731931611
Male,Black,2012,4857.510816298741
Male,Black,2013,4736.8243984092005
Male,Black,2014,4616.701629584739
Male,Black,2015,4542.771710909427
Male,Black,2016,4578.11894526045
Male,Black,2017,4521.908567100837
Male,Black,2018,4535.873941596498
Male,Black,2019,4354.264745510099
Male,Black,2020,4755.663690440126
Male,Black,2021,4448.336035566761
Male,Black,2022,4404.521229979591
Male,Black,2023,4013.1607594126017
Male,White,2000,5821.393761377589
Male,White,2001,5568.18893972582
Male,White,2002,5417.655955537703
Male,White,2003,5217.238298859644
Male,White,2004,4953.692611400737
Male,White,2005,4604.304861790991
Male,White,2006,4454.523996653201
Male,White,2007,4224.431568456389
Male,White,2008,4150.207807783877
Male,White,2009,4001.899071143316
Male,White,2010,3897.6998521263895
Male,White,2011,3798.805653751778
Male,White,2012,3695.84413515466
Male,White,2013,3641.3880672403775
Male,White,2014,3582.5022940901567
Male,White,2015,3513.8076709998727
Male,White,2016,3503.9002889304093
Male,White,2017,3451.8121622991075
Male,White,2018,3414.483843464789
Male,White,2019,3319.3170151424524
Male,White,2020,3356.456214651321
Male,White,2021,3263.9132254365154
Male,White,2022,3247.7122924152036
Male,White,2023,3001.3102937511985
