Age,excess_ypll_rate_Female,excess_ypll_number_Female,excess_ypll_rate_Male,excess_ypll_number_Male
20-24 years,33.647902333420845,12314.938105635565,42.9109919888192,15717.093570399029
25-29 years,68.24101498227247,23950.478057672593,100.63398382268478,33611.22126202181
30-34 years,130.0783629304425,43740.712257518455,211.29113995915094,65304.27451629049
35-39 years,235.42351911343883,77750.12389773551,350.58697746511393,104019.5173184861
40-44 years,423.68222027176944,139671.03412974728,525.7958173540112,154252.74522693714
45-49 years,730.457085988603,235685.30967853486,844.8028749085261,241094.21207225847
50-54 years,1173.6745960091766,359184.87120538653,1405.7671854161986,376391.9568407061
55-59 years,1657.5065101483212,450034.9628914636,2137.838362266176,494563.3579418508
60-64 years,2154.2045431387064,482102.55381467886,2795.0825824480544,510849.0540020644
65-69 years,2482.88877817079,434091.6386205672,2998.5048811184442,402964.8430816254
70-74 years,2631.7816899120344,346111.21573533124,2920.1717050856387,273363.0844547598
75-79 years,2643.006960018187,253326.69323319683,2316.9735523858435,141556.6345000538
80-84 years,2034.2088626508248,135241.97586688216,890.0771077035515,32424.601154990527
